Bode taken on 19092019-150203
1 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[10.473708979594498, 1.07, 1.08, 26.666666666666668, 0.08079955603480218]
[10.969857978923836, 1.071666666666667, 1.09, 26.0, 0.14733550800090128, 0.13410477912086524]
[11.489510001873091, 1.0700000000000003, 1.0966666666666667, 25.0, 0.21381731090204248, 0.12793523351227903]
[12.033778407775893, 1.0683333333333334, 1.1033333333333333, 25.5, 0.2799991984176497, 0.12159788589203231]
[12.603829296797274, 1.0700000000000003, 1.1183333333333334, 25.4, 0.3837498420027738, 0.18200242396470093]
[13.200884008314182, 1.0725, 1.1233333333333333, 25.0, 0.4022269058982859, 0.030947019660172107]
[13.826221737646557, 1.0716666666666668, 1.125, 24.8, 0.42185599813605595, 0.03138958568632423]
[14.481182276745338, 1.0716666666666668, 1.125, 25.6, 0.42185599813605595, 0.0]
[15.167168884709225, 1.0725, 1.14, 24.666666666666668, 0.5301510095942146, 0.1578675300667964]
[15.885651294280526, 1.0706666666666667, 1.1449999999999998, 24.5, 0.5830240957785159, 0.07358995221031123]
[16.63816886076129, 1.0733333333333335, 1.1583333333333332, 24.5, 0.6619787446060345, 0.10492067208046611]
[17.4263338600965, 1.07, 1.1716666666666666, 24.4, 0.7884059390194132, 0.16040701441958985]
[18.251834943190435, 1.0750000000000002, 1.1783333333333332, 23.5, 0.7971939832326298, 0.010645708882996744]
[19.116440753857017, 1.0740000000000003, 1.1833333333333333, 24.5, 0.8420563394378944, 0.05188764134106063]
[20.022003718155844, 1.076, 1.2016666666666669, 23.8, 0.9594348601083018, 0.12961939180153312]
[20.970464013232327, 1.07, 1.2149999999999999, 24.2, 1.1038500049824258, 0.15226272056278167]
[21.963853724165457, 1.07, 1.2416666666666667, 24.4, 1.2924248935887903, 0.18982971791526684]
[23.00430119772918, 1.07, 1.2516666666666667, 24.5, 1.3620981787063022, 0.06696473093338208]
[24.094035602395245, 1.0716666666666668, 1.2699999999999998, 24.2, 1.4748799683075666, 0.10349474983844802]
