Freq.	V(vin)/I(V1)	V(vo4)
Step Information: Hola=1  (Run: 1/2)
2.04173794466953e+000	(7.68588431284737e+001dB,1.77225522378659e+002°)	(1.24226377544459e-002dB,2.30289519158471e+000°)
2.08929613085404e+000	(7.68581721080878e+001dB,1.77161040116948e+002°)	(1.30226891140905e-002dB,2.35639874858008e+000°)
2.13796208950223e+000	(7.68574695356324e+001dB,1.77095066123688e+002°)	(1.36509467166854e-002dB,2.41113873058069e+000°)
2.18776162394955e+000	(7.68567339310413e+001dB,1.77027566383032e+002°)	(1.43087328286993e-002dB,2.46714323678565e+000°)
2.23872113856834e+000	(7.68559637451663e+001dB,1.76958506138808e+002°)	(1.49974313553423e-002dB,2.52444097107879e+000°)
2.29086765276777e+000	(7.68551573565855e+001dB,1.76887849880959e+002°)	(1.57184906805928e-002dB,2.58306125258392e+000°)
2.34422881531992e+000	(7.68543130682602e+001dB,1.76815561331935e+002°)	(1.64734266353509e-002dB,2.64303402621989e+000°)
2.39883291901949e+000	(7.68534291040479e+001dB,1.76741603433037e+002°)	(1.72638255976370e-002dB,2.70438987323388e+000°)
2.45470891568503e+000	(7.68525036050663e+001dB,1.76665938330740e+002°)	(1.80913477321318e-002dB,2.76716002169992e+000°)
2.51188643150958e+000	(7.68515346258787e+001dB,1.76588527363017e+002°)	(1.89577303741398e-002dB,2.83137635695739e+000°)
2.57039578276886e+000	(7.68505201305159e+001dB,1.76509331045690e+002°)	(1.98647915643392e-002dB,2.89707143196397e+000°)
2.63026799189538e+000	(7.68494579883244e+001dB,1.76428309058811e+002°)	(2.08144337395342e-002dB,2.96427847755155e+000°)
2.69153480392691e+000	(7.68483459696180e+001dB,1.76345420233135e+002°)	(2.18086475876377e-002dB,3.03303141254347e+000°)
2.75422870333816e+000	(7.68471817411581e+001dB,1.76260622536664e+002°)	(2.28495160726336e-002dB,3.10336485371509e+000°)
2.81838293126445e+000	(7.68459628614079e+001dB,1.76173873061350e+002°)	(2.39392186350206e-002dB,3.17531412556252e+000°)
2.88403150312660e+000	(7.68446867755728e+001dB,1.76085128009961e+002°)	(2.50800355782852e-002dB,3.24891526984208e+000°)
2.95120922666638e+000	(7.68433508104786e+001dB,1.75994342683106e+002°)	(2.62743526449588e-002dB,3.32420505486183e+000°)
3.01995172040201e+000	(7.68419521691310e+001dB,1.75901471466571e+002°)	(2.75246657929390e-002dB,3.40122098445435e+000°)
3.09029543251359e+000	(7.68404879251272e+001dB,1.75806467818868e+002°)	(2.88335861776412e-002dB,3.48000130662653e+000°)
3.16227766016837e+000	(7.68389550167855e+001dB,1.75709284259141e+002°)	(3.02038453492242e-002dB,3.56058502181191e+000°)
3.23593656929628e+000	(7.68373502409797e+001dB,1.75609872355488e+002°)	(3.16383006730262e-002dB,3.64301189068320e+000°)
3.31131121482591e+000	(7.68356702468040e+001dB,1.75508182713629e+002°)	(3.31399409811572e-002dB,3.72732244149323e+000°)
3.38844156139202e+000	(7.68339115288669e+001dB,1.75404164966146e+002°)	(3.47118924641331e-002dB,3.81355797684820e+000°)
3.46736850452531e+000	(7.68320704203509e+001dB,1.75297767762238e+002°)	(3.63574248120384e-002dB,3.90176057989241e+000°)
3.54813389233575e+000	(7.68301430857761e+001dB,1.75188938758081e+002°)	(3.80799576125251e-002dB,3.99197311981740e+000°)
3.63078054770101e+000	(7.68281255134074e+001dB,1.75077624607939e+002°)	(3.98830670180777e-002dB,4.08423925661962e+000°)
3.71535229097172e+000	(7.68260135074463e+001dB,1.74963770955931e+002°)	(4.17704926880742e-002dB,4.17860344506525e+000°)
3.80189396320560e+000	(7.68238026797560e+001dB,1.74847322428789e+002°)	(4.37461450172674e-002dB,4.27511093773292e+000°)
3.89045144994280e+000	(7.68214884413392e+001dB,1.74728222629467e+002°)	(4.58141126618812e-002dB,4.37380778708644e+000°)
3.98107170553496e+000	(7.68190659934587e+001dB,1.74606414131773e+002°)	(4.79786703696812e-002dB,4.47474084647812e+000°)
4.07380277804112e+000	(7.68165303183276e+001dB,1.74481838476224e+002°)	(5.02442871265936e-002dB,4.57795776996512e+000°)
4.16869383470335e+000	(7.68138761694913e+001dB,1.74354436167062e+002°)	(5.26156346284364e-002dB,4.68350701086247e+000°)
4.26579518801592e+000	(7.68110980617769e+001dB,1.74224146670678e+002°)	(5.50975960888825e-002dB,4.79143781888995e+000°)
4.36515832240165e+000	(7.68081902608496e+001dB,1.74090908415524e+002°)	(5.76952753926630e-002dB,4.90180023582345e+000°)
4.46683592150962e+000	(7.68051467723407e+001dB,1.73954658793657e+002°)	(6.04140066042732e-002dB,5.01464508949528e+000°)
4.57088189614874e+000	(7.68019613305756e+001dB,1.73815334164011e+002°)	(6.32593638424299e-002dB,5.13002398602978e+000°)
4.67735141287197e+000	(7.67986273868224e+001dB,1.73672869857641e+002°)	(6.62371715291635e-002dB,5.24798930015143e+000°)
4.78630092322637e+000	(7.67951380971178e+001dB,1.73527200184999e+002°)	(6.93535150240235e-002dB,5.36859416342690e+000°)
4.89778819368445e+000	(7.67914863096003e+001dB,1.73378258445509e+002°)	(7.26147516516839e-002dB,5.49189245026485e+000°)
5.01187233627271e+000	(7.67876645513807e+001dB,1.73225976939545e+002°)	(7.60275221330989e-002dB,5.61793876150091e+000°)
5.12861383991364e+000	(7.67836650148878e+001dB,1.73070286983100e+002°)	(7.95987624264107e-002dB,5.74678840538829e+000°)
5.24807460249771e+000	(7.67794795437750e+001dB,1.72911118925199e+002°)	(8.33357159887795e-002dB,5.87849737580242e+000°)
5.37031796370252e+000	(7.67750996182355e+001dB,1.72748402168491e+002°)	(8.72459464638130e-002dB,6.01312232743239e+000°)
5.49540873857623e+000	(7.67705163398487e+001dB,1.72582065193048e+002°)	(9.13373508030546e-002dB,6.15072054776230e+000°)
5.62341325190348e+000	(7.67657204158319e+001dB,1.72412035583812e+002°)	(9.56181728251317e-002dB,6.29134992558529e+000°)
5.75439937337156e+000	(7.67607021428504e+001dB,1.72238240061675e+002°)	(1.00097017221821e-001dB,6.43506891584647e+000°)
5.88843655355588e+000	(7.67554513901154e+001dB,1.72060604518914e+002°)	(1.04782864008693e-001dB,6.58193650048215e+000°)
6.02559586074356e+000	(7.67499575820723e+001dB,1.71879054058756e+002°)	(1.09685083429232e-001dB,6.73201214507472e+000°)
6.16595001861481e+000	(7.67442096804396e+001dB,1.71693513039768e+002°)	(1.14813451310150e-001dB,6.88535575095708e+000°)
6.30957344480192e+000	(7.67381961656687e+001dB,1.71503905125293e+002°)	(1.20178164866421e-001dB,7.04202760249598e+000°)
6.45654229034654e+000	(7.67319050178782e+001dB,1.71310153338156e+002°)	(1.25789858958911e-001dB,7.20208830924261e+000°)
6.60693448007594e+000	(7.67253236971437e+001dB,1.71112180121233e+002°)	(1.31659622795452e-001dB,7.36559874259540e+000°)
6.76082975391980e+000	(7.67184391232769e+001dB,1.70909907404002e+002°)	(1.37799017071549e-001dB,7.53261996664818e+000°)
6.91830970918935e+000	(7.67112376549753e+001dB,1.70703256675728e+002°)	(1.44220091543352e-001dB,7.70321316282813e+000°)
7.07945784384136e+000	(7.67037050684315e+001dB,1.70492149065521e+002°)	(1.50935403018113e-001dB,7.87743954796847e+000°)
7.24435960074988e+000	(7.66958265353506e+001dB,1.70276505429846e+002°)	(1.57958033752152e-001dB,8.05536028538796e+000°)
7.41310241300916e+000	(7.66875866004321e+001dB,1.70056246447840e+002°)	(1.65301610235049e-001dB,8.23703638858123e+000°)
7.58577575029182e+000	(7.66789691583290e+001dB,1.69831292724933e+002°)	(1.72980322343423e-001dB,8.42252861709884e+000°)
7.76247116628690e+000	(7.66699574300499e+001dB,1.69601564905375e+002°)	(1.81008942835607e-001dB,8.61189736411482e+000°)
7.94328234724279e+000	(7.66605339388679e+001dB,1.69366983794121e+002°)	(1.89402847160857e-001dB,8.80520253526290e+000°)
8.12830516164097e+000	(7.66506804857883e+001dB,1.69127470488536e+002°)	(1.98178033549791e-001dB,9.00250341826088e+000°)
8.31763771102669e+000	(7.66403781245243e+001dB,1.68882946520699e+002°)	(2.07351143345916e-001dB,9.20385854278579e+000°)
8.51138038202374e+000	(7.66296071360813e+001dB,1.68633334010728e+002°)	(2.16939481537937e-001dB,9.40932553012572e+000°)
8.70963589956078e+000	(7.66183470029937e+001dB,1.68378555831720e+002°)	(2.26961037440543e-001dB,9.61896093207534e+000°)
8.91250938133743e+000	(7.66065763832251e+001dB,1.68118535787030e+002°)	(2.37434505471012e-001dB,9.83282005852899e+000°)
9.12010839355907e+000	(7.65942730837948e+001dB,1.67853198800505e+002°)	(2.48379305958607e-001dB,1.00509567932406e+001°)
9.33254300796988e+000	(7.65814140342028e+001dB,1.67582471120305e+002°)	(2.59815605918602e-001dB,1.02734233971705e+001°)
9.54992586021433e+000	(7.65679752597330e+001dB,1.67306280536943e+002°)	(2.71764339715237e-001dB,1.05002702988884e+001°)
9.77237220955808e+000	(7.65539318546665e+001dB,1.67024556616378e+002°)	(2.84247229529845e-001dB,1.07315458714401e+001°)
9.99999999999997e+000	(7.65392579555533e+001dB,1.66737230948644e+002°)	(2.97286805542056e-001dB,1.09672961951302e+001°)
1.02329299228075e+001	(7.65239267145625e+001dB,1.66444237412964e+002°)	(3.10906425722936e-001dB,1.12075648056241e+001°)
1.04712854805090e+001	(7.65079102730847e+001dB,1.66145512459844e+002°)	(3.25130295132177e-001dB,1.14523924268412e+001°)
1.07151930523760e+001	(7.64911797356519e+001dB,1.65840995410996e+002°)	(3.39983484597906e-001dB,1.17018166880785e+001°)
1.09647819614318e+001	(7.64737051443110e+001dB,1.65530628777787e+002°)	(3.55491948650346e-001dB,1.19558718247727e+001°)
1.12201845430196e+001	(7.64554554536086e+001dB,1.65214358598839e+002°)	(3.71682542572372e-001dB,1.22145883624735e+001°)
1.14815362149688e+001	(7.64363985062856e+001dB,1.64892134797635e+002°)	(3.88583038412336e-001dB,1.24779927834132e+001°)
1.17489755493953e+001	(7.64165010098784e+001dB,1.64563911560712e+002°)	(4.06222139802269e-001dB,1.27461071752665e+001°)
1.20226443461741e+001	(7.63957285144195e+001dB,1.64229647737010e+002°)	(4.24629495408044e-001dB,1.30189488616680e+001°)
1.23026877081238e+001	(7.63740453913475e+001dB,1.63889307259284e+002°)	(4.43835710826952e-001dB,1.32965300140075e+001°)
1.25892541179416e+001	(7.63514148138588e+001dB,1.63542859588103e+002°)	(4.63872358736604e-001dB,1.35788572441961e+001°)
1.28824955169313e+001	(7.63277987389785e+001dB,1.63190280178720e+002°)	(4.84771987094251e-001dB,1.38659311780982e+001°)
1.31825673855640e+001	(7.63031578914592e+001dB,1.62831550971805e+002°)	(5.06568125162330e-001dB,1.41577460093635e+001°)
1.34896288259165e+001	(7.62774517498021e+001dB,1.62466660908335e+002°)	(5.29295287130783e-001dB,1.44542890334178e+001°)
1.38038426460288e+001	(7.62506385346994e+001dB,1.62095606468840e+002°)	(5.52988973103374e-001dB,1.47555401616305e+001°)
1.41253754462275e+001	(7.62226752000448e+001dB,1.61718392237892e+002°)	(5.77685667184754e-001dB,1.50614714154693e+001°)
1.44543977074592e+001	(7.61935174269320e+001dB,1.61335031493530e+002°)	(6.03422832417182e-001dB,1.53720464008071e+001°)
1.47910838816820e+001	(7.61631196208360e+001dB,1.60945546822252e+002°)	(6.30238902290662e-001dB,1.56872197625128e+001°)
1.51356124843620e+001	(7.61314349122911e+001dB,1.60549970759693e+002°)	(6.58173268541005e-001dB,1.60069366194692e+001°)
1.54881661891248e+001	(7.60984151614510e+001dB,1.60148346456709e+002°)	(6.87266264957921e-001dB,1.63311319805471e+001°)
1.58489319246111e+001	(7.60640109668042e+001dB,1.59740728371079e+002°)	(7.17559146896479e-001dB,1.66597301418709e+001°)
1.62181009735892e+001	(7.60281716784043e+001dB,1.59327182984570e+002°)	(7.49094066193194e-001dB,1.69926440659880e+001°)
1.65958690743755e+001	(7.59908454159861e+001dB,1.58907789545005e+002°)	(7.81914041179691e-001dB,1.73297747437420e+001°)
1.69824365246174e+001	(7.59519790922999e+001dB,1.58482640833090e+002°)	(8.16062921476207e-001dB,1.76710105395269e+001°)
1.73780082874937e+001	(7.59115184421034e+001dB,1.58051843953136e+002°)	(8.51585347258965e-001dB,1.80162265210842e+001°)
1.77827941003892e+001	(7.58694080571175e+001dB,1.57615521147407e+002°)	(8.88526702673865e-001dB,1.83652837747631e+001°)
1.81970085860998e+001	(7.58255914273872e+001dB,1.57173810633084e+002°)	(9.26933063085942e-001dB,1.87180287075896e+001°)
1.86208713666286e+001	(7.57800109894698e+001dB,1.56726867460709e+002°)	(9.66851135850692e-001dB,1.90742923374761e+001°)
1.90546071796324e+001	(7.57326081818026e+001dB,1.56274864393418e+002°)	(1.00832819428747e+000dB,1.94338895730131e+001°)
1.94984459975804e+001	(7.56833235076776e+001dB,1.55817992805656e+002°)	(1.05141200454428e+000dB,1.97966184845000e+001°)
1.99526231496887e+001	(7.56320966063153e+001dB,1.55356463599539e+002°)	(1.09615074505865e+000dB,2.01622595678884e+001°)
2.04173794466952e+001	(7.55788663323053e+001dB,1.54890508138482e+002°)	(1.14259291828912e+000dB,2.05305750034239e+001°)
2.08929613085403e+001	(7.55235708440512e+001dB,1.54420379195021e+002°)	(1.19078725445042e+000dB,2.09013079110454e+001°)
2.13796208950222e+001	(7.54661477014557e+001dB,1.53946351912541e+002°)	(1.24078260692815e+000dB,2.12741816042633e+001°)
2.18776162394954e+001	(7.54065339734282e+001dB,1.53468724778073e+002°)	(1.29262783910456e+000dB,2.16488988448589e+001°)
2.23872113856833e+001	(7.53446663555900e+001dB,1.52987820604774e+002°)	(1.34637170229381e+000dB,2.20251411002708e+001°)
2.29086765276776e+001	(7.52804812986824e+001dB,1.52503987521704e+002°)	(1.40206270450673e+000dB,2.24025678059821e+001°)
2.34422881531991e+001	(7.52139151481335e+001dB,1.52017599968894e+002°)	(1.45974896974897e+000dB,2.27808156350183e+001°)
2.39883291901948e+001	(7.51449042952605e+001dB,1.51529059695610e+002°)	(1.51947808754778e+000dB,2.31594977767005e+001°)
2.45470891568502e+001	(7.50733853406440e+001dB,1.51038796759293e+002°)	(1.58129695240092e+000dB,2.35382032269208e+001°)
2.51188643150957e+001	(7.49992952702267e+001dB,1.50547270522560e+002°)	(1.64525159281845e+000dB,2.39164960921448e+001°)
2.57039578276885e+001	(7.49225716446676e+001dB,1.50054970646170e+002°)	(1.71138698959184e+000dB,2.42939149092727e+001°)
2.63026799189537e+001	(7.48431528025952e+001dB,1.49562418075004e+002°)	(1.77974688289995e+000dB,2.46699719836052e+001°)
2.69153480392690e+001	(7.47609780784399e+001dB,1.49070166014007e+002°)	(1.85037356782901e+000dB,2.50441527472521e+001°)
2.75422870333815e+001	(7.46759880355123e+001dB,1.48578800891756e+002°)	(1.92330767778811e+000dB,2.54159151400947e+001°)
2.81838293126444e+001	(7.45881247152009e+001dB,1.48088943307403e+002°)	(1.99858795529653e+000dB,2.57846890159138e+001°)
2.88403150312659e+001	(7.44973319030817e+001dB,1.47601248958435e+002°)	(2.07625100947311e+000dB,2.61498755761387e+001°)
2.95120922666637e+001	(7.44035554129707e+001dB,1.47116409544454e+002°)	(2.15633105951894e+000dB,2.65108468340444e+001°)
3.01995172040200e+001	(7.43067433899572e+001dB,1.46635153642901e+002°)	(2.23885966334743e+000dB,2.68669451126506e+001°)
3.09029543251358e+001	(7.42068466336111e+001dB,1.46158247551598e+002°)	(2.32386543039486e+000dB,2.72174825798017e+001°)
3.16227766016837e+001	(7.41038189426934e+001dB,1.45686496091942e+002°)	(2.41137371753009e+000dB,2.75617408248936e+001°)
3.23593656929627e+001	(7.39976174828195e+001dB,1.45220743365906e+002°)	(2.50140630681323e+000dB,2.78989704822610e+001°)
3.31131121482590e+001	(7.38882031786711e+001dB,1.44761873458914e+002°)	(2.59398106369071e+000dB,2.82283909073564e+001°)
3.38844156139201e+001	(7.37755411325445e+001dB,1.44310811078154e+002°)	(2.68911157408960e+000dB,2.85491899134417e+001°)
3.46736850452530e+001	(7.36596010711051e+001dB,1.43868522115909e+002°)	(2.78680675861821e+000dB,2.88605235776381e+001°)
3.54813389233574e+001	(7.35403578224570e+001dB,1.43436014123196e+002°)	(2.88707046200389e+000dB,2.91615161278632e+001°)
3.63078054770100e+001	(7.34177918257218e+001dB,1.43014336677553e+002°)	(2.98990101568131e+000dB,2.94512599241066e+001°)
3.71535229097171e+001	(7.32918896754476e+001dB,1.42604581626226e+002°)	(3.09529077127085e+000dB,2.97288155505176e+001°)
3.80189396320559e+001	(7.31626447032985e+001dB,1.42207883180859e+002°)	(3.20322560264325e+000dB,2.99932120384925e+001°)
3.89045144994279e+001	(7.30300575994896e+001dB,1.41825417837031e+002°)	(3.31368437411158e+000dB,3.02434472445944e+001°)
3.98107170553495e+001	(7.28941370764423e+001dB,1.41458404086731e+002°)	(3.42663837229034e+000dB,3.04784884118626e+001°)
4.07380277804111e+001	(7.27549005770463e+001dB,1.41108101885930e+002°)	(3.54205069924609e+000dB,3.06972729486501e+001°)
4.16869383470333e+001	(7.26123750297124e+001dB,1.40775811834399e+002°)	(3.65987562464757e+000dB,3.08987094646596e+001°)
4.26579518801591e+001	(7.24665976520910e+001dB,1.40462874016917e+002°)	(3.78005789497558e+000dB,3.10816791109375e+001°)
4.36515832240164e+001	(7.23176168048333e+001dB,1.40170666448638e+002°)	(3.90253199823395e+000dB,3.12450372778437e+001°)
4.46683592150961e+001	(7.21654928960833e+001dB,1.39900603058021e+002°)	(4.02722138330849e+000dB,3.13876157130654e+001°)
4.57088189614873e+001	(7.20102993364601e+001dB,1.39654131133496e+002°)	(4.15403763393276e+000dB,3.15082251304941e+001°)
4.67735141287196e+001	(7.18521235430483e+001dB,1.39432728149509e+002°)	(4.28287959847140e+000dB,3.16056583897420e+001°)
4.78630092322636e+001	(7.16910679893497e+001dB,1.39237897879456e+002°)	(4.41363247819228e+000dB,3.16786943355169e+001°)
4.89778819368444e+001	(7.15272512961686e+001dB,1.39071165693185e+002°)	(4.54616687865336e+000dB,3.17261023951165e+001°)
5.01187233627270e+001	(7.13608093559619e+001dB,1.38934072928369e+002°)	(4.68033783120747e+000dB,3.17466480412482e+001°)
5.12861383991362e+001	(7.11918964802396e+001dB,1.38828170217525e+002°)	(4.81598379450415e+000dB,3.17390992346115e+001°)
5.24807460249770e+001	(7.10206865560919e+001dB,1.38755009646956e+002°)	(4.95292564933440e+000dB,3.17022339670493e+001°)
5.37031796370250e+001	(7.08473741937768e+001dB,1.38716135620401e+002°)	(5.09096570424466e+000dB,3.16348490287539e+001°)
5.49540873857622e+001	(7.06721758425982e+001dB,1.38713074301762e+002°)	(5.22988673398138e+000dB,3.15357701226995e+001°)
5.62341325190346e+001	(7.04953308469313e+001dB,1.38747321516658e+002°)	(5.36945107816986e+000dB,3.14038634438062e+001°)
5.75439937337154e+001	(7.03171024083293e+001dB,1.38820329005078e+002°)	(5.50939983348087e+000dB,3.12380488279315e+001°)
5.88843655355586e+001	(7.01377784133490e+001dB,1.38933488938892e+002°)	(5.64945217879566e+000dB,3.10373145556146e+001°)
6.02559586074355e+001	(6.99576720800490e+001dB,1.39088116648015e+002°)	(5.78930487951312e+000dB,3.08007338647396e+001°)
6.16595001861479e+001	(6.97771223695156e+001dB,1.39285431542024e+002°)	(5.92863202372106e+000dB,3.05274831844587e+001°)
6.30957344480190e+001	(6.95964941025730e+001dB,1.39526536270492e+002°)	(6.06708504908819e+000dB,3.02168620466636e+001°)
6.45654229034652e+001	(6.94161777163830e+001dB,1.39812394235451e+002°)	(6.20429312478358e+000dB,2.98683145610839e+001°)
6.60693448007593e+001	(6.92365885918721e+001dB,1.40143805656778e+002°)	(6.33986395646514e+000dB,2.94814522542823e+001°)
6.76082975391978e+001	(6.90581658811536e+001dB,1.40521382492018e+002°)	(6.47338508414241e+000dB,2.90560779714960e+001°)
6.91830970918933e+001	(6.88813707656077e+001dB,1.40945522628396e+002°)	(6.60442574120960e+000dB,2.85922104256014e+001°)
7.07945784384134e+001	(6.87066840804910e+001dB,1.41416383889968e+002°)	(6.73253933775942e+000dB,2.80901088521517e+001°)
7.24435960074986e+001	(6.85346032520977e+001dB,1.41933858534677e+002°)	(6.85726662113095e+000dB,2.75502970985899e+001°)
7.41310241300914e+001	(6.83656385090969e+001dB,1.42497549045104e+002°)	(6.97813955107851e+000dB,2.69735863473234e+001°)
7.58577575029180e+001	(6.82003083512041e+001dB,1.43106746133783e+002°)	(7.09468590543805e+000dB,2.63610955554551e+001°)
7.76247116628688e+001	(6.80391342861617e+001dB,1.43760409978055e+002°)	(7.20643460439689e+000dB,2.57142686008661e+001°)
7.94328234724277e+001	(6.78826348793568e+001dB,1.44457155756083e+002°)	(7.31292170816165e+000dB,2.50348870678636e+001°)
8.12830516164095e+001	(6.77313191985337e+001dB,1.45195244562539e+002°)	(7.41369700475140e+000dB,2.43250775995469e+001°)
8.31763771102667e+001	(6.75856797768753e+001dB,1.45972580726024e+002°)	(7.50833106387927e+000dB,2.35873128005294e+001°)
8.51138038202372e+001	(6.74461852588930e+001dB,1.46786716421871e+002°)	(7.59642259180651e+000dB,2.28244048028866e+001°)
8.70963589956076e+001	(6.73132729317963e+001dB,1.47634864268270e+002°)	(7.67760588386732e+000dB,2.20394908138754e+001°)
8.91250938133741e+001	(6.71873413766962e+001dB,1.48513918312733e+002°)	(7.75155813978699e+000dB,2.12360102455651e+001°)
9.12010839355905e+001	(6.70687434955118e+001dB,1.49420483469635e+002°)	(7.81800638547037e+000dB,2.04176733728325e+001°)
9.33254300796986e+001	(6.69577801774997e+001dB,1.50350913076259e+002°)	(7.87673373696598e+000dB,1.95884218597198e+001°)
9.54992586021431e+001	(6.68546948614914e+001dB,1.51301353820230e+002°)	(7.92758475023241e+000dB,1.87523819087777e+001°)
9.77237220955805e+001	(6.67596692250328e+001dB,1.52267796887164e+002°)	(7.97046962531398e+000dB,1.79138111922201e+001°)
9.99999999999995e+001	(6.66728201903257e+001dB,1.53246133817832e+002°)	(8.00536707492268e+000dB,1.70770410835167e+001°)
1.02329299228075e+002	(6.65941983810605e+001dB,1.54232215281655e+002°)	(8.03232572326943e+000dB,1.62464159897591e+001°)
1.04712854805089e+002	(6.65237880982417e+001dB,1.55221910794890e+002°)	(8.05146396712564e+000dB,1.54262317645678e+001°)
1.07151930523760e+002	(6.64615088114379e+001dB,1.56211167354931e+002°)	(8.06296830278054e+000dB,1.46206752371979e+001°)
1.09647819614318e+002	(6.64072180907426e+001dB,1.57196065032284e+002°)	(8.06709019379723e+000dB,1.38337668236331e+001°)
1.12201845430196e+002	(6.63607158394653e+001dB,1.58172867752145e+002°)	(8.06414161982776e+000dB,1.30693079949987e+001°)
1.14815362149688e+002	(6.63217496332601e+001dB,1.59138067789276e+002°)	(8.05448950108113e+000dB,1.23308350862482e+001°)
1.17489755493952e+002	(6.62900209317257e+001dB,1.60088422865459e+002°)	(8.03854923280333e+000dB,1.16215805625802e+001°)
1.20226443461741e+002	(6.62651919054503e+001dB,1.61020985145278e+002°)	(8.01677758720109e+000dB,1.09444424539045e+001°)
1.23026877081237e+002	(6.62468926154367e+001dB,1.61933121839154e+002°)	(7.98966524638284e+000dB,1.03019622547325e+001°)
1.25892541179416e+002	(6.62347282913910e+001dB,1.62822527511725e+002°)	(7.95772922031205e+000dB,9.69631119674822e+000°)
1.28824955169313e+002	(6.62282864781408e+001dB,1.63687228533121e+002°)	(7.92150538103817e+000dB,9.12928446173023e+000°)
1.31825673855640e+002	(6.62271438519458e+001dB,1.64525580383617e+002°)	(7.88154131207788e+000dB,8.60230262979103e+000°)
