time,V(vin),V(vout)
3.719636233552555e-004,1.000000e+000,-2.761916e-001
3.753815921052555e-004,1.000000e+000,-2.738369e-001
3.787995608552555e-004,1.000000e+000,-2.709786e-001
3.822175296052555e-004,1.000000e+000,-2.676278e-001
3.856354983552555e-004,1.000000e+000,-2.637965e-001
3.890534671052555e-004,1.000000e+000,-2.594973e-001
3.924714358552555e-004,1.000000e+000,-2.547436e-001
3.958894046052555e-004,1.000000e+000,-2.495495e-001
3.993073733552555e-004,1.000000e+000,-2.439301e-001
4.027253421052555e-004,1.000000e+000,-2.379007e-001
4.061433108552555e-004,1.000000e+000,-2.314775e-001
4.095612796052555e-004,1.000000e+000,-2.246773e-001
4.129792483552555e-004,1.000000e+000,-2.175173e-001
4.163972171052555e-004,1.000000e+000,-2.100154e-001
4.198151858552555e-004,1.000000e+000,-2.021897e-001
4.232331546052555e-004,1.000000e+000,-1.940590e-001
4.266511233552555e-004,1.000000e+000,-1.856422e-001
4.300690921052555e-004,1.000000e+000,-1.769589e-001
4.334870608552556e-004,1.000000e+000,-1.680286e-001
4.403229983552556e-004,1.000000e+000,-1.495076e-001
4.471589358552556e-004,1.000000e+000,-1.302411e-001
4.539948733552556e-004,1.000000e+000,-1.103937e-001
4.608308108552556e-004,1.000000e+000,-9.013042e-002
4.710847171052556e-004,1.000000e+000,-5.931593e-002
4.813386233552556e-004,1.000000e+000,-2.848415e-002
4.881745608552556e-004,1.000000e+000,-8.182921e-003
4.915925296052556e-004,1.000000e+000,1.834542e-003
4.950104983552556e-004,1.000000e+000,1.173868e-002
4.984284671052555e-004,1.000000e+000,2.151159e-002
5.018464358552554e-004,1.000000e+000,3.113582e-002
5.052644046052554e-004,1.000000e+000,4.059439e-002
5.086823733552553e-004,1.000000e+000,4.987084e-002
5.121003421052553e-004,1.000000e+000,5.894924e-002
5.155183108552552e-004,1.000000e+000,6.781421e-002
5.189362796052552e-004,1.000000e+000,7.645094e-002
5.223542483552551e-004,1.000000e+000,8.484525e-002
5.257722171052551e-004,1.000000e+000,9.298357e-002
5.326081546052550e-004,1.000000e+000,1.084412e-001
5.394440921052549e-004,1.000000e+000,1.227284e-001
5.462800296052548e-004,1.000000e+000,1.357610e-001
5.531159671052547e-004,1.000000e+000,1.474661e-001
5.599519046052546e-004,1.000000e+000,1.577826e-001
5.667878421052545e-004,1.000000e+000,1.666617e-001
5.736237796052544e-004,1.000000e+000,1.740662e-001
5.804597171052543e-004,1.000000e+000,1.799716e-001
5.872956546052542e-004,1.000000e+000,1.843651e-001
5.941315921052541e-004,1.000000e+000,1.872458e-001
6.009675296052540e-004,1.000000e+000,1.886246e-001
6.043854983552539e-004,1.000000e+000,1.887573e-001
6.078034671052539e-004,1.000000e+000,1.885237e-001
6.112214358552538e-004,1.000000e+000,1.879282e-001
6.180573733552537e-004,1.000000e+000,1.856728e-001
6.248933108552536e-004,1.000000e+000,1.820396e-001
6.317292483552535e-004,1.000000e+000,1.770865e-001
6.385651858552534e-004,1.000000e+000,1.708803e-001
6.454011233552533e-004,1.000000e+000,1.634961e-001
6.522370608552532e-004,1.000000e+000,1.550163e-001
6.590729983552531e-004,1.000000e+000,1.455299e-001
6.659089358552530e-004,1.000000e+000,1.351319e-001
6.727448733552529e-004,1.000000e+000,1.239218e-001
6.795808108552528e-004,1.000000e+000,1.120038e-001
6.864167483552527e-004,1.000000e+000,9.948467e-002
6.932526858552526e-004,1.000000e+000,8.647385e-002
7.000886233552525e-004,1.000000e+000,7.308204e-002
7.103425296052523e-004,1.000000e+000,5.252319e-002
7.205964358552522e-004,1.000000e+000,3.173030e-002
7.308503421052520e-004,1.000000e+000,1.106830e-002
7.342683108552520e-004,1.000000e+000,4.271200e-003
7.376862796052519e-004,1.000000e+000,-2.459665e-003
7.411042483552519e-004,1.000000e+000,-9.112012e-003
7.445222171052518e-004,1.000000e+000,-1.567384e-002
7.513581546052517e-004,1.000000e+000,-2.847951e-002
7.581940921052516e-004,1.000000e+000,-4.078716e-002
7.650300296052515e-004,1.000000e+000,-5.251305e-002
7.718659671052514e-004,1.000000e+000,-6.357974e-002
7.787019046052513e-004,1.000000e+000,-7.391655e-002
7.855378421052512e-004,1.000000e+000,-8.345993e-002
7.957917483552510e-004,1.000000e+000,-9.616685e-002
8.060456546052509e-004,1.000000e+000,-1.068080e-001
8.128815921052508e-004,1.000000e+000,-1.126956e-001
