Bode taken on 19092019-194303
0 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[12.067926406393289, 1.11, 1.12, 29.818181818181817, 0.07790087767048276]
[14.563484775012437, 1.1258333333333332, 1.16, 29.5, 0.2596777250502536, 0.07284015059136936]
[17.57510624854792, 1.11, 1.235, 31.0, 0.9268795761805416, 0.22154240066133818]
[21.209508879201906, 1.11, 1.28, 30.6, 1.2377398172242187, 0.08553269206382344]
[25.59547922699536, 1.1116666666666668, 1.3416666666666668, 32.833333333333336, 1.6334009290263907, 0.09021062169315075]
[30.888435964774818, 1.1083333333333336, 1.445, 34.0, 2.303949043462112, 0.1266868685416527]
[37.2759372031494, 1.1116666666666668, 1.5816666666666668, 35.5, 3.0628075702148734, 0.11880366021594188]
[44.98432668969444, 1.106, 1.7516666666666667, 36.2, 3.9939267735183828, 0.12079296264528061]
[54.286754393238596, 1.104, 1.9800000000000002, 34.5, 5.073922337367021, 0.11609824857194731]
[65.51285568595509, 1.1083333333333336, 2.23, 30.0, 6.072689362573992, 0.08896828909382565]
[79.06043210907697, 1.1, 2.438333333333333, 25.0, 6.914007811668842, 0.06210102994207567]
[95.40954763499938, 1.095, 2.5533333333333332, 17.2, 7.353867914736087, 0.026904214015114315]
[115.1395399326447, 1.0916666666666668, 2.53, 11.9, 7.3006094313535685, -0.002699366658590873]
[138.94954943731375, 1.094, 2.4366666666666665, 8.222222222222221, 6.95557600481572, -0.01449110830762956]
[167.68329368110065, 1.0999999999999999, 2.3566666666666665, 5.523809523809524, 6.618109478380239, -0.011744606744331672]
[202.35896477251555, 1.0999999999999999, 2.31, 5.65, 6.444385894678386, -0.005009955921079892]
[244.205309454865, 1.0999999999999999, 2.3066666666666666, 8.3, 6.431843091577408, -0.0002997347365986049]
[294.705170255181, 1.1033333333333333, 2.366666666666667, 8.222222222222221, 6.628607098867133, 0.003896327715986378]
[355.64803062231283, 1.1033333333333333, 2.486666666666667, 8.352941176470589, 7.058216673939002, 0.007049383184245312]
[429.1934260128778, 1.1050000000000002, 2.6166666666666667, 5.095238095238095, 7.487722480089211, 0.005840009478082284]
[517.9474679231213, 1.1, 2.6616666666666666, 1.0416666666666667, 7.675219611932285, 0.0021125475280628766]
[625.0551925273969, 1.0999999999999999, 2.5966666666666662, -2.8333333333333335, 7.4604703558935395, -0.0020049838312985]
[754.3120063354615, 1.095, 2.4366666666666665, -5.764705882352941, 6.947640061241217, -0.003967530063164264]
[910.2981779915218, 1.094, 2.266666666666666, -4.777777777777778, 6.3274067197832355, -0.003976207216788148]
[1098.5411419875584, 1.096, 2.143333333333333, -2.9615384615384617, 5.825583281124183, -0.002665828395422088]
[1325.7113655901082, 1.0999999999999999, 2.08, 0.25, 5.533412996090731, -0.001286129319239588]
[1599.8587196060573, 1.1, 2.0966666666666667, 4.375, 5.60273411134763, 0.000252860785418581]
[1930.6977288832495, 1.1, 2.188333333333333, 9.0, 5.974415810952212, 0.0011234518577982135]
[2329.951810515372, 1.1033333333333333, 2.36, 11.0, 6.604105278281005, 0.0015771647587287457]
[2811.768697974228, 1.095, 2.5716666666666668, 10.0, 7.41601113006735, 0.0016850921437569504]
[3393.221771895326, 1.095, 2.7966666666666664, 8.375, 8.144531738658014, 0.001252931046830311]
[4094.9150623804235, 1.095, 2.9499999999999997, 3.260869565217391, 8.608157936040516, 0.000660724854675448]
[4941.713361323833, 1.0983333333333334, 2.98, -2.0476190476190474, 8.669641997317779, 7.260768160963368e-05]
[5963.623316594642, 1.1, 2.973333333333333, -5.153846153846154, 8.637018289964711, -3.192424849645618e-05]
[7196.856730011514, 1.0883333333333334, 2.9319999999999995, -9.777777777777779, 8.6080407015532, -2.3497245611618495e-05]
[8685.11373751352, 1.0916666666666668, 2.9166666666666665, -12.2, 8.535934973890226, -4.84497820601572e-05]
[10481.131341546852, 1.09, 2.9000000000000004, -15.8, 8.499429999166649, -2.0325510530407804e-05]
[12648.552168552958, 1.09, 2.8333333333333335, -22.5, 8.297423461080133, -9.320134584364565e-05]
[15264.179671752303, 1.09, 2.65, -28.833333333333332, 7.716387519923684, -0.000222140171123658]
[18420.699693267165, 1.0859999999999999, 2.3683333333333336, -34.5, 6.772260045819961, -0.0002991039079963198]
[22229.96482526191, 1.08, 2.08, -38.0, 5.692791589516236, -0.0002833797120702003]
[26826.957952797275, 1.0883333333333334, 1.814, -39.6, 4.437507036652923, -0.0002730664410491132]
[32374.5754281764, 1.08, 1.6200000000000003, -40.0, 3.521825181113626, -0.00016505857867871808]
[39069.39937054613, 1.085, 1.474, -38.5, 2.6613549067696867, -0.00012852769269976693]
[47148.663634573895, 1.0859999999999999, 1.3499999999999999, -37.0, 1.8900788648435598, -9.546364826314296e-05]
[56898.66029018293, 1.09, 1.26, -36.25, 1.2588809435387849, -6.473827054511404e-05]
[68664.88450042998, 1.09, 1.2016666666666667, -34.666666666666664, 0.8471503279032355, -3.499258626033818e-05]
[82864.27728546843, 1.0733333333333335, 1.16, -34.0, 0.6744674450149988, -1.2161286436853021e-05]
[100000.0, 1.068, 1.1266666666666667, -34.0, 0.4644838573090929, -1.2254142483750272e-05]
