1905.5,3.1425,3.89,4.4178,4.4168,4.9796,5.6685,4.417,5.7285,4.5143,5.9507,44.736,39.243,33.696,35.012,19.54,33.935,6.6169,32.906,10.505
1949.8,3.9982,4.5844,5.1074,5.1448,5.5744,6.0507,5.1649,5.772,5.18,6.0978,38.383,32.975,25.748,27.051,10.012,25.28,-3.3455,24.986,0.13733
1995.3,4.8018,5.2063,5.6464,5.7255,5.9945,6.1843,5.7298,5.5576,5.6942,5.9587,30.703,25.691,16.596,17.798,-0.099693,15.212,-13.114,15.918,-10.24
2041.7,5.4818,5.7033,5.9603,6.0773,6.1794,6.0461,6.0177,5.1199,5.9869,5.5587,21.595,17.411,6.4995,7.4954,-10.206,4.1008,-22.176,5.966,-19.992
2089.3,5.9472,6.019,5.9953,6.1376,6.098,5.66,5.9692,4.519,6.0093,4.9615,11.2,8.3224,-4.0122,-3.3101,-19.719,-7.3229,-30.219,-4.3541,-28.686
2138,6.1146,6.1094,5.7449,5.8947,5.7643,5.0848,5.5949,3.8179,5.7574,4.2406,0.017105,-1.2009,-14.266,-13.89,-28.238,-18.201,-37.15,-14.404,-36.161
2187.8,5.9489,5.9604,5.2534,5.3942,5.2302,4.3885,4.9685,3.0677,5.2739,3.4584,-11.168,-10.66,-23.679,-23.6,-35.601,-27.892,-43.023,-23.639,-42.456
2238.7,5.4849,5.5948,4.5932,4.7144,4.562,3.6298,4.1861,2.3043,4.6276,2.6583,-21.568,-19.576,-31.925,-32.077,-41.837,-36.132,-47.968,-31.749,-47.713
2290.9,4.8058,5.0615,3.8361,3.9333,3.8203,2.8506,3.33,1.55,3.8865,1.8674,-30.684,-27.619,-38.935,-39.247,-47.072,-42.962,-52.133,-38.668,-52.103
2344.2,4.0026,4.4171,3.0376,3.1109,3.0497,2.0773,2.4562,0.8176,3.1037,1.1005,-38.372,-34.648,-44.805,-45.217,-51.462,-48.567,-55.656,-44.483,-55.784
2398.8,3.147,3.7114,2.2345,2.2858,2.2795,1.3251,1.5977,0.11343,2.3147,0.36516,-44.731,-40.674,-49.698,-50.167,-55.157,-53.171,-58.654,-49.347,-58.893
2454.7,2.2858,2.9813,1.4484,1.4805,1.527,0.60182,0.7715,-0.55994,1.5408,-0.33604,-49.96,-45.793,-53.786,-54.281,-58.288,-56.975,-61.225,-53.423,-61.54
2511.9,1.4454,2.2512,0.69062,0.70637,0.8013,-0.089414,-0.015108,-1.2022,0.79342,-1.0029,-54.271,-50.133,-57.22,-57.724,-60.961,-60.146,-63.446,-56.856,-63.813
2570.4,0.63905,1.5362,-0.033673,-0.031767,0.10655,-0.74803,-0.76015,-1.8142,0.077879,-1.6367,-57.849,-53.82,-60.127,-60.629,-63.26,-62.816,-65.38,-59.769,-65.781
2630.3,-0.12781,0.84432,-0.72306,-0.73285,-0.55613,-1.3749,-1.4645,-2.3976,-0.60415,-2.2392,-60.846,-56.969,-62.61,-63.102,-65.255,-65.088,-67.076,-62.262,-67.499
2691.5,-0.85419,0.17959,-1.3781,-1.3978,-1.1873,-1.9717,-2.1303,-2.9543,-1.253,-2.8128,-63.382,-59.675,-64.748,-65.227,-66.998,-67.038,-68.573,-64.412,-69.009
2754.2,-1.5413,-0.45666,-2.0006,-2.0287,-1.7884,-2.5405,-2.7605,-3.4861,-1.8702,-3.3596,-65.548,-62.017,-66.605,-67.068,-68.533,-68.728,-69.904,-66.281,-70.346
2818.4,-2.1916,-1.0646,-2.5924,-2.6277,-2.3613,-3.0832,-3.3579,-3.995,-2.4576,-3.8818,-67.415,-64.057,-68.23,-68.675,-69.893,-70.205,-71.094,-67.919,-71.537
2884,-2.8076,-1.6453,-3.156,-3.1975,-2.9079,-3.6019,-3.9255,-4.4828,-3.0173,-4.3815,-69.039,-65.849,-69.662,-70.091,-71.106,-71.506,-72.163,-69.364,-72.605
