Freq.	V(vo3)
6.91830970918933e+001	(-6.60561016294500e+000dB,1.51831707715055e+002°)
7.07945784384134e+001	(-6.73372975611783e+000dB,1.52343907676227e+002°)
7.24435960074986e+001	(-6.85846166242869e+000dB,1.52894065086433e+002°)
7.41310241300914e+001	(-6.97933760360065e+000dB,1.53481374802731e+002°)
7.58577575029180e+001	(-7.09588509731018e+000dB,1.54104723936178e+002°)
7.76247116628688e+001	(-7.20763278249176e+000dB,1.54762674684747e+002°)
7.94328234724277e+001	(-7.31411641875377e+000dB,1.55453451526772e+002°)
8.12830516164095e+001	(-7.41488547670975e+000dB,1.56174933848884e+002°)
8.31763771102667e+001	(-7.50951019517532e+000dB,1.56924655025909e+002°)
8.51138038202372e+001	(-7.59758894006151e+000dB,1.57699808841308e+002°)
8.70963589956076e+001	(-7.67875566159614e+000dB,1.58497263930678e+002°)
8.91250938133741e+001	(-7.75268721483230e+000dB,1.59313586649502e+002°)
9.12010839355905e+001	(-7.81911028691674e+000dB,1.60145072419628e+002°)
9.33254300796986e+001	(-7.87780766658469e+000dB,1.60987785215042e+002°)
9.54992586021431e+001	(-7.92862359924497e+000dB,1.61837604432466e+002°)
9.77237220955805e+001	(-7.97146799595239e+000dB,1.62690277987645e+002°)
9.99999999999995e+001	(-8.00631930604271e+000dB,1.63541480118135e+002°)
1.02329299228075e+002	(-8.03322591899970e+000dB,1.64386872090511e+002°)
1.04712854805089e+002	(-8.05230602739849e+000dB,1.65222163831160e+002°)
1.07151930523760e+002	(-8.06374595445598e+000dB,1.66043174442704e+002°)
1.09647819614318e+002	(-8.06779702109792e+000dB,1.66845889638369e+002°)
1.12201845430196e+002	(-8.06477109284084e+000dB,1.67626514317192e+002°)
1.14815362149688e+002	(-8.05503500122419e+000dB,1.68381518795206e+002°)
1.17489755493952e+002	(-8.03900407433197e+000dB,1.69107677573921e+002°)
1.20226443461741e+002	(-8.01713503407039e+000dB,1.69802099934548e+002°)
1.23026877081237e+002	(-7.98991852400806e+000dB,1.70462252060446e+002°)
1.25892541179416e+002	(-7.95787152202120e+000dB,1.71085970780086e+002°)
1.28824955169313e+002	(-7.92152986926494e+000dB,1.71671469363157e+002°)
1.31825673855640e+002	(-7.88144111445430e+000dB,1.72217336075942e+002°)
1.34896288259165e+002	(-7.83815783377134e+000dB,1.72722526399806e+002°)
1.38038426460288e+002	(-7.79223154548140e+000dB,1.73186349937388e+002°)
1.41253754462275e+002	(-7.74420729767772e+000dB,1.73608453080325e+002°)
1.44543977074592e+002	(-7.69461896995176e+000dB,1.73988798499943e+002°)
1.47910838816820e+002	(-7.64398529693667e+000dB,1.74327642461109e+002°)
1.51356124843620e+002	(-7.59280659459208e+000dB,1.74625510862861e+002°)
1.54881661891247e+002	(-7.54156214913881e+000dB,1.74883174790593e+002°)
1.58489319246110e+002	(-7.49070821355070e+000dB,1.75101626235078e+002°)
1.62181009735892e+002	(-7.44067654693560e+000dB,1.75282054502903e+002°)
1.65958690743755e+002	(-7.39187342723303e+000dB,1.75425823718096e+002°)
1.69824365246173e+002	(-7.34467906655536e+000dB,1.75534451700895e+002°)
1.73780082874936e+002	(-7.29944736033281e+000dB,1.75609590409639e+002°)
1.77827941003891e+002	(-7.25650590536844e+000dB,1.75653008046963e+002°)
1.81970085860997e+002	(-7.21615622725182e+000dB,1.75666572862026e+002°)
1.86208713666286e+002	(-7.17867416371415e+000dB,1.75652238625417e+002°)
1.90546071796323e+002	(-7.14431035695989e+000dB,1.75612031711436e+002°)
1.94984459975803e+002	(-7.11329081441638e+000dB,1.75548039691773e+002°)
1.99526231496887e+002	(-7.08581750345037e+000dB,1.75462401323416e+002°)
2.04173794466952e+002	(-7.06206895124096e+000dB,1.75357297800155e+002°)
2.08929613085403e+002	(-7.04220082607842e+000dB,1.75234945129492e+002°)
2.13796208950222e+002	(-7.02634648083883e+000dB,1.75097587493660e+002°)
2.18776162394954e+002	(-7.01461744327144e+000dB,1.74947491453508e+002°)
2.23872113856832e+002	(-7.00710384106386e+000dB,1.74786940855961e+002°)
2.29086765276776e+002	(-7.00387475247870e+000dB,1.74618232308893e+002°)
2.34422881531991e+002	(-7.00497847575240e+000dB,1.74443671090593e+002°)
2.39883291901947e+002	(-7.01044271249935e+000dB,1.74265567364204e+002°)
2.45470891568501e+002	(-7.02027466215267e+000dB,1.74086232569987e+002°)
2.51188643150956e+002	(-7.03446102609106e+000dB,1.73907975869828e+002°)
2.57039578276885e+002	(-7.05296792163872e+000dB,1.73733100518840e+002°)
2.63026799189536e+002	(-7.07574070767245e+000dB,1.73563900038228e+002°)
2.69153480392690e+002	(-7.10270372522363e+000dB,1.73402654061785e+002°)
2.75422870333815e+002	(-7.13375995830608e+000dB,1.73251623725763e+002°)
2.81838293126443e+002	(-7.16879062233020e+000dB,1.73113046468577e+002°)
2.88403150312659e+002	(-7.20765468996074e+000dB,1.72989130103513e+002°)
2.95120922666637e+002	(-7.25018836721889e+000dB,1.72882046024725e+002°)
3.01995172040200e+002	(-7.29620453609135e+000dB,1.72793921405237e+002°)
3.09029543251357e+002	(-7.34549218393767e+000dB,1.72726830246369e+002°)
3.16227766016836e+002	(-7.39781584461593e+000dB,1.72682783142091e+002°)
3.23593656929626e+002	(-7.45291508146748e+000dB,1.72663715630707e+002°)
3.31131121482589e+002	(-7.51050404806624e+000dB,1.72671475021583e+002°)
3.38844156139200e+002	(-7.57027116883257e+000dB,1.72707805608007e+002°)
3.46736850452529e+002	(-7.63187898805331e+000dB,1.72774332210622e+002°)
3.54813389233573e+002	(-7.69496424225144e+000dB,1.72872542041014e+002°)
3.63078054770099e+002	(-7.75913821682914e+000dB,1.73003764933576e+002°)
3.71535229097170e+002	(-7.82398745295319e+000dB,1.73169152067076e+002°)
3.80189396320558e+002	(-7.88907487413193e+000dB,1.73369653385985e+002°)
3.89045144994278e+002	(-7.95394140310299e+000dB,1.73605994035267e+002°)
3.98107170553494e+002	(-8.01810813767082e+000dB,1.73878650239271e+002°)
4.07380277804110e+002	(-8.08107914812778e+000dB,1.74187825182174e+002°)
4.16869383470332e+002	(-8.14234494801212e+000dB,1.74533425578579e+002°)
4.26579518801589e+002	(-8.20138667349060e+000dB,1.74915039750690e+002°)
4.36515832240163e+002	(-8.25768098414728e+000dB,1.75331918142860e+002°)
4.46683592150960e+002	(-8.31070566936923e+000dB,1.75782957293294e+002°)
4.57088189614872e+002	(-8.35994591034185e+000dB,1.76266688332906e+002°)
4.67735141287195e+002	(-8.40490110908129e+000dB,1.76781271079407e+002°)
4.78630092322635e+002	(-8.44509215485361e+000dB,1.77324494728256e+002°)
4.89778819368443e+002	(-8.48006895741434e+000dB,1.77893786002339e+002°)
5.01187233627268e+002	(-8.50941803901445e+000dB,1.78486225405096e+002°)
5.12861383991361e+002	(-8.53276994669040e+000dB,1.79098571930343e+002°)
5.24807460249769e+002	(-8.54980622662967e+000dB,1.79727296227305e+002°)
5.37031796370249e+002	(-8.56026569656625e+000dB,-1.79631378179207e+002°)
5.49540873857620e+002	(-8.56394976248394e+000dB,-1.78981426428995e+002°)
5.62341325190345e+002	(-8.56072655329531e+000dB,-1.78326967842752e+002°)
5.75439937337152e+002	(-8.55053369088276e+000dB,-1.77672206980783e+002°)
5.88843655355584e+002	(-8.53337957046141e+000dB,-1.77021372079742e+002°)
6.02559586074353e+002	(-8.50934309360668e+000dB,-1.76378652864773e+002°)
6.16595001861477e+002	(-8.47857186828104e+000dB,-1.75748139773109e+002°)
6.30957344480188e+002	(-8.44127896103846e+000dB,-1.75133766536656e+002°)
6.45654229034650e+002	(-8.39773835066145e+000dB,-1.74539257864321e+002°)
6.60693448007591e+002	(-8.34827928498797e+000dB,-1.73968083659926e+002°)
6.76082975391976e+002	(-8.29327978015465e+000dB,-1.73423420837271e+002°)
6.91830970918931e+002	(-8.23315952212369e+000dB,-1.72908123383639e+002°)
7.07945784384132e+002	(-8.16837243410921e+000dB,-1.72424700910621e+002°)
7.24435960074984e+002	(-8.09939916186594e+000dB,-1.71975305547064e+002°)
7.41310241300911e+002	(-8.02673970443654e+000dB,-1.71561726697350e+002°)
7.58577575029177e+002	(-7.95090638430120e+000dB,-1.71185392925284e+002°)
7.76247116628685e+002	(-7.87241731162069e+000dB,-1.70847380037372e+002°)
7.94328234724275e+002	(-7.79179045593885e+000dB,-1.70548424329297e+002°)
8.12830516164092e+002	(-7.70953839835957e+000dB,-1.70288939919790e+002°)
8.31763771102664e+002	(-7.62616380020597e+000dB,-1.70069039116322e+002°)
8.51138038202369e+002	(-7.54215559212976e+000dB,-1.69888554824265e+002°)
8.70963589956073e+002	(-7.45798586146268e+000dB,-1.69747064111671e+002°)
8.91250938133738e+002	(-7.37410739555887e+000dB,-1.69643912162829e+002°)
9.12010839355902e+002	(-7.29095182474220e+000dB,-1.69578235983862e+002°)
9.33254300796983e+002	(-7.20892829967396e+000dB,-1.69548987353716e+002°)
9.54992586021428e+002	(-7.12842263371459e+000dB,-1.69554954637153e+002°)
9.77237220955802e+002	(-7.04979684029829e+000dB,-1.69594783188015e+002°)
9.99999999999991e+002	(-6.97338899759910e+000dB,-1.69666994168465e+002°)
1.02329299228075e+003	(-6.89951337703910e+000dB,-1.69770001691920e+002°)
1.04712854805089e+003	(-6.82846077776357e+000dB,-1.69902128264060e+002°)
1.07151930523760e+003	(-6.76049901550342e+000dB,-1.70061618548504e+002°)
1.09647819614318e+003	(-6.69587352079574e+000dB,-1.70246651522931e+002°)
1.12201845430195e+003	(-6.63480800799152e+000dB,-1.70455351119354e+002°)
1.14815362149687e+003	(-6.57750518260081e+000dB,-1.70685795460670e+002°)
1.17489755493952e+003	(-6.52414746014410e+000dB,-1.70936024816375e+002°)
1.20226443461740e+003	(-6.47489767470728e+000dB,-1.71204048405025e+002°)
1.23026877081237e+003	(-6.42989975979148e+000dB,-1.71487850171194e+002°)
1.25892541179416e+003	(-6.38927938781093e+000dB,-1.71785393661515e+002°)
1.28824955169312e+003	(-6.35314455774629e+000dB,-1.72094626119089e+002°)
1.31825673855640e+003	(-6.32158612305523e+000dB,-1.72413481908869e+002°)
1.34896288259164e+003	(-6.29467825402823e+000dB,-1.72739885379362e+002°)
1.38038426460287e+003	(-6.27247883042345e+000dB,-1.73071753258754e+002°)
1.41253754462274e+003	(-6.25502976147739e+000dB,-1.73406996676633e+002°)
1.44543977074591e+003	(-6.24235723133840e+000dB,-1.73743522896402e+002°)
1.47910838816819e+003	(-6.23447186866448e+000dB,-1.74079236838314e+002°)
1.51356124843619e+003	(-6.23136883963077e+000dB,-1.74412042469111e+002°)
1.54881661891247e+003	(-6.23302786395860e+000dB,-1.74739844131591e+002°)
1.58489319246110e+003	(-6.23941315386872e+000dB,-1.75060547886129e+002°)
1.62181009735891e+003	(-6.25047327612637e+000dB,-1.75372062936300e+002°)
1.65958690743754e+003	(-6.26614093764434e+000dB,-1.75672303212273e+002°)
1.69824365246173e+003	(-6.28633269549512e+000dB,-1.75959189188530e+002°)
1.73780082874936e+003	(-6.31094859271116e+000dB,-1.76230650016638e+002°)
1.77827941003891e+003	(-6.33987172198390e+000dB,-1.76484626059099e+002°)
1.81970085860997e+003	(-6.37296772036452e+000dB,-1.76719071916619e+002°)
1.86208713666285e+003	(-6.41008419938875e+000dB,-1.76931960048083e+002°)
1.90546071796323e+003	(-6.45105011675572e+000dB,-1.77121285089891e+002°)
1.94984459975803e+003	(-6.49567509785181e+000dB,-1.77285068988496e+002°)
1.99526231496886e+003	(-6.54374871808679e+000dB,-1.77421367066581e+002°)
2.04173794466951e+003	(-6.59503976025418e+000dB,-1.77528275148332e+002°)
2.08929613085402e+003	(-6.64929546498505e+000dB,-1.77603937872091e+002°)
2.13796208950221e+003	(-6.70624079685768e+000dB,-1.77646558317904e+002°)
2.18776162394953e+003	(-6.76557775384756e+000dB,-1.77654409072038e+002°)
2.23872113856832e+003	(-6.82698475350819e+000dB,-1.77625844838794e+002°)
2.29086765276775e+003	(-6.89011613546153e+000dB,-1.77559316690255e+002°)
2.34422881531990e+003	(-6.95460182627204e+000dB,-1.77453388015183e+002°)
2.39883291901947e+003	(-7.02004721932498e+000dB,-1.77306752187322e+002°)
2.45470891568501e+003	(-7.08603332855876e+000dB,-1.77118251919143e+002°)
2.51188643150955e+003	(-7.15211728033546e+000dB,-1.76886900198223e+002°)
2.57039578276884e+003	(-7.21783321176959e+000dB,-1.76611902619206e+002°)
2.63026799189535e+003	(-7.28269364574960e+000dB,-1.76292680824706e+002°)
2.69153480392689e+003	(-7.34619141186474e+000dB,-1.75928896654923e+002°)
2.75422870333814e+003	(-7.40780217761349e+000dB,-1.75520476481242e+002°)
2.81838293126442e+003	(-7.46698764475861e+000dB,-1.75067635068425e+002°)
2.88403150312658e+003	(-7.52319945074837e+000dB,-1.74570898180658e+002°)
2.95120922666635e+003	(-7.57588379421556e+000dB,-1.74031123027862e+002°)
3.01995172040198e+003	(-7.62448677653031e+000dB,-1.73449515552143e+002°)
3.09029543251356e+003	(-7.66846041857409e+000dB,-1.72827643492949e+002°)
3.16227766016835e+003	(-7.70726927431543e+000dB,-1.72167444157063e+002°)
3.23593656929625e+003	(-7.74039752213431e+000dB,-1.71471225868678e+002°)
3.31131121482588e+003	(-7.76735637363641e+000dB,-1.70741662195481e+002°)
3.38844156139199e+003	(-7.78769160104911e+000dB,-1.69981778244173e+002°)
3.46736850452528e+003	(-7.80099095177117e+000dB,-1.69194928592235e+002°)
