1.0471,-72.741,89.879,-71.266,89.888,-71.942,89.875,-72.07,89.884,-71.336,89.888,-71.17,89.89,-72.596,89.873,-71.115,89.884,-71.753,89.879,-71.29,89.889,-72.412,89.883,-71.282,89.89,-71.682,89.875,-72.407,89.872,-72.001,89.881
1.0495,-72.721,89.88,-71.246,89.888,-71.922,89.875,-72.05,89.884,-71.316,89.888,-71.15,89.89,-72.576,89.873,-71.095,89.885,-71.733,89.88,-71.27,89.89,-72.392,89.883,-71.262,89.89,-71.662,89.875,-72.387,89.872,-71.981,89.881
1.052,-72.701,89.88,-71.226,89.888,-71.902,89.875,-72.03,89.884,-71.296,89.888,-71.13,89.891,-72.556,89.874,-71.075,89.885,-71.713,89.88,-71.25,89.89,-72.372,89.884,-71.242,89.89,-71.642,89.876,-72.367,89.872,-71.961,89.881
1.0544,-72.681,89.88,-71.206,89.888,-71.882,89.875,-72.01,89.884,-71.276,89.888,-71.11,89.891,-72.536,89.874,-71.055,89.885,-71.693,89.88,-71.23,89.89,-72.352,89.884,-71.222,89.89,-71.622,89.876,-72.347,89.872,-71.941,89.881
1.0568,-72.661,89.88,-71.186,89.889,-71.862,89.876,-71.99,89.884,-71.256,89.889,-71.09,89.891,-72.516,89.874,-71.035,89.885,-71.673,89.88,-71.21,89.89,-72.332,89.884,-71.202,89.89,-71.602,89.876,-72.327,89.873,-71.921,89.882
1.0593,-72.641,89.881,-71.166,89.889,-71.842,89.876,-71.97,89.885,-71.236,89.889,-71.07,89.891,-72.496,89.874,-71.015,89.885,-71.653,89.881,-71.19,89.89,-72.312,89.884,-71.182,89.891,-71.582,89.876,-72.307,89.873,-71.901,89.882
1.0617,-72.621,89.881,-71.146,89.889,-71.822,89.876,-71.95,89.885,-71.216,89.889,-71.05,89.891,-72.476,89.875,-70.995,89.886,-71.633,89.881,-71.17,89.891,-72.292,89.885,-71.162,89.891,-71.562,89.877,-72.287,89.873,-71.881,89.882
1.0641,-72.601,89.881,-71.126,89.889,-71.802,89.876,-71.93,89.885,-71.196,89.889,-71.03,89.892,-72.456,89.875,-70.975,89.886,-71.613,89.881,-71.15,89.891,-72.272,89.885,-71.142,89.891,-71.542,89.877,-72.267,89.874,-71.861,89.882
1.0666,-72.581,89.881,-71.106,89.89,-71.782,89.877,-71.91,89.885,-71.176,89.89,-71.01,89.892,-72.436,89.875,-70.955,89.886,-71.593,89.881,-71.13,89.891,-72.252,89.885,-71.122,89.891,-71.522,89.877,-72.247,89.874,-71.841,89.883
1.0691,-72.561,89.882,-71.086,89.89,-71.762,89.877,-71.89,89.886,-71.156,89.89,-70.99,89.892,-72.416,89.876,-70.935,89.886,-71.573,89.881,-71.11,89.891,-72.232,89.885,-71.102,89.892,-71.502,89.877,-72.227,89.874,-71.821,89.883
1.0715,-72.541,89.882,-71.066,89.89,-71.742,89.877,-71.87,89.886,-71.136,89.89,-70.97,89.892,-72.396,89.876,-70.915,89.887,-71.553,89.882,-71.09,89.892,-72.212,89.885,-71.082,89.892,-71.482,89.878,-72.207,89.874,-71.801,89.883
1.074,-72.521,89.882,-71.046,89.89,-71.722,89.877,-71.85,89.886,-71.116,89.89,-70.95,89.893,-72.376,89.876,-70.895,89.887,-71.533,89.882,-71.07,89.892,-72.192,89.886,-71.062,89.892,-71.462,89.878,-72.187,89.875,-71.781,89.883
1.0765,-72.501,89.882,-71.026,89.89,-71.702,89.878,-71.83,89.886,-71.096,89.89,-70.93,89.893,-72.356,89.876,-70.875,89.887,-71.513,89.882,-71.05,89.892,-72.172,89.886,-71.042,89.892,-71.442,89.878,-72.167,89.875,-71.761,89.884
1.0789,-72.481,89.883,-71.006,89.891,-71.682,89.878,-71.81,89.887,-71.076,89.891,-70.91,89.893,-72.336,89.877,-70.855,89.887,-71.493,89.882,-71.03,89.892,-72.152,89.886,-71.022,89.892,-71.422,89.878,-72.147,89.875,-71.741,89.884
1.0814,-72.461,89.883,-70.986,89.891,-71.662,89.878,-71.79,89.887,-71.056,89.891,-70.89,89.893,-72.316,89.877,-70.835,89.887,-71.473,89.883,-71.01,89.892,-72.132,89.886,-71.002,89.893,-71.402,89.879,-72.127,89.875,-71.721,89.884
1.0839,-72.441,89.883,-70.966,89.891,-71.642,89.878,-71.77,89.887,-71.036,89.891,-70.87,89.893,-72.296,89.877,-70.815,89.888,-71.453,89.883,-70.99,89.893,-72.112,89.887,-70.982,89.893,-71.382,89.879,-72.107,89.876,-71.701,89.884
