f,mag,phase
1.49968483550236e+001,-4.93120030616390e+001,8.98948888713942e+001
1.50314196609001e+001,-4.92920011721534e+001,8.98946834682247e+001
1.50660706618673e+001,-4.92719992739423e+001,8.98944775064787e+001
1.51008015416413e+001,-4.92519973669655e+001,8.98942709850664e+001
1.51356124843619e+001,-4.92319954511825e+001,8.98940639028878e+001
1.51705036745932e+001,-4.92119935265527e+001,8.98938562588482e+001
1.52054752973248e+001,-4.91919915930353e+001,8.98936480518382e+001
1.52405275379728e+001,-4.91719896505892e+001,8.98934392807588e+001
1.52756605823806e+001,-4.91519876991734e+001,8.98932299444979e+001
1.53108746168202e+001,-4.91319857387463e+001,8.98930200419480e+001
1.53461698279928e+001,-4.91119837692663e+001,8.98928095719912e+001
1.53815464030302e+001,-4.90919817906918e+001,8.98925985335113e+001
1.54170045294954e+001,-4.90719798029808e+001,8.98923869253888e+001
1.54525443953840e+001,-4.90519778060911e+001,8.98921747464993e+001
1.54881661891247e+001,-4.90319757999802e+001,8.98919619957165e+001
1.55238700995807e+001,-4.90119737846058e+001,8.98917486719109e+001
1.55596563160506e+001,-4.89919717599250e+001,8.98915347739519e+001
1.55955250282694e+001,-4.89719697258949e+001,8.98913203006993e+001
1.56314764264094e+001,-4.89519676824724e+001,8.98911052510199e+001
1.56675107010813e+001,-4.89319656296140e+001,8.98908896237675e+001
1.57036280433354e+001,-4.89119635672764e+001,8.98906734178009e+001
1.57398286446620e+001,-4.88919614954156e+001,8.98904566319714e+001
1.57761126969933e+001,-4.88719594139878e+001,8.98902392651247e+001
1.58124803927037e+001,-4.88519573229489e+001,8.98900213161118e+001
1.58489319246110e+001,-4.88319552222544e+001,8.98898027837731e+001
1.58854674859776e+001,-4.88119531118598e+001,8.98895836669479e+001
1.59220872705115e+001,-4.87919509917204e+001,8.98893639644719e+001
1.59587914723672e+001,-4.87719488617912e+001,8.98891436751827e+001
1.59955802861465e+001,-4.87519467220270e+001,8.98889227979072e+001
1.60324539069002e+001,-4.87319445723824e+001,8.98887013314728e+001
1.60694125301286e+001,-4.87119424128118e+001,8.98884792747060e+001
1.61064563517825e+001,-4.86919402432695e+001,8.98882566264250e+001
1.61435855682647e+001,-4.86719380637093e+001,8.98880333854499e+001
1.61808003764305e+001,-4.86519358740852e+001,8.98878095505955e+001
1.62181009735891e+001,-4.86319336743505e+001,8.98875851206705e+001
1.62554875575047e+001,-4.86119314644587e+001,8.98873600944866e+001
1.62929603263970e+001,-4.85919292443629e+001,8.98871344708470e+001
1.63305194789432e+001,-4.85719270140161e+001,8.98869082485541e+001
1.63681652142779e+001,-4.85519247733708e+001,8.98866814264068e+001
1.64058977319952e+001,-4.85319225223795e+001,8.98864540032019e+001
1.64437172321491e+001,-4.85119202609947e+001,8.98862259777308e+001
1.64816239152549e+001,-4.84919179891681e+001,8.98859973487821e+001
1.65196179822900e+001,-4.84719157068517e+001,8.98857681151444e+001
1.65576996346951e+001,-4.84519134139971e+001,8.98855382755974e+001
1.65958690743754e+001,-4.84319111105556e+001,8.98853078289210e+001
1.66341265037015e+001,-4.84119087964784e+001,8.98850767738947e+001
1.66724721255104e+001,-4.83919064717164e+001,8.98848451092875e+001
1.67109061431069e+001,-4.83719041362202e+001,8.98846128338726e+001
1.67494287602642e+001,-4.83519017899404e+001,8.98843799464159e+001
1.67880401812254e+001,-4.83318994328272e+001,8.98841464456780e+001
1.68267406107045e+001,-4.83118970648305e+001,8.98839123304235e+001
1.68655302538872e+001,-4.82918946859001e+001,8.98836775994065e+001
1.69044093164324e+001,-4.82718922959857e+001,8.98834422513789e+001
1.69433780044731e+001,-4.82518898950364e+001,8.98832062850973e+001
1.69824365246172e+001,-4.82318874830014e+001,8.98829696993011e+001
1.70215850839493e+001,-4.82118850598294e+001,8.98827324927386e+001
1.70608238900310e+001,-4.81918826254692e+001,8.98824946641482e+001
1.71001531509027e+001,-4.81718801798691e+001,8.98822562122679e+001
1.71395730750841e+001,-4.81518777229771e+001,8.98820171358316e+001
1.71790838715757e+001,-4.81318752547412e+001,8.98817774335700e+001
1.72186857498599e+001,-4.81118727751091e+001,8.98815371042087e+001
1.72583789199018e+001,-4.80918702840280e+001,8.98812961464733e+001
1.72981635921508e+001,-4.80718677814453e+001,8.98810545590823e+001
1.73380399775412e+001,-4.80518652673078e+001,8.98808123407547e+001
1.73780082874935e+001,-4.80318627415621e+001,8.98805694902019e+001
1.74180687339159e+001,-4.80118602041547e+001,8.98803260061362e+001
1.74582215292048e+001,-4.79918576550318e+001,8.98800818872654e+001
1.74984668862464e+001,-4.79718550941394e+001,8.98798371322895e+001
1.75388050184174e+001,-4.79518525214230e+001,8.98795917399109e+001
1.75792361395867e+001,-4.79318499368281e+001,8.98793457088277e+001
1.76197604641161e+001,-4.79118473402999e+001,8.98790990377307e+001
1.76603782068614e+001,-4.78918447317834e+001,8.98788517253123e+001
1.77010895831740e+001,-4.78718421112231e+001,8.98786037702560e+001
1.77418948089014e+001,-4.78518394785635e+001,8.98783551712477e+001
1.77827941003890e+001,-4.78318368337488e+001,8.98781059269665e+001
1.78237876744807e+001,-4.78118341767228e+001,8.98778560360880e+001
1.78648757485203e+001,-4.77918315074293e+001,8.98776054972859e+001
1.79060585403527e+001,-4.77718288258115e+001,8.98773543092281e+001
1.79473362683250e+001,-4.77518261318126e+001,8.98771024705831e+001
1.79887091512877e+001,-4.77318234253755e+001,8.98768499800110e+001
1.80301774085955e+001,-4.77118207064427e+001,8.98765968361702e+001
1.80717412601090e+001,-4.76918179749566e+001,8.98763430377198e+001
1.81134009261958e+001,-4.76718152308592e+001,8.98760885833090e+001
1.81551566277311e+001,-4.76518124740923e+001,8.98758334715861e+001
1.81970085860996e+001,-4.76318097045975e+001,8.98755777011979e+001
1.82389570231961e+001,-4.76118069223160e+001,8.98753212707858e+001
1.82810021614272e+001,-4.75918041271888e+001,8.98750641789855e+001
1.83231442237119e+001,-4.75718013191565e+001,8.98748064244329e+001
1.83653834334832e+001,-4.75517984981597e+001,8.98745480057592e+001
1.84077200146893e+001,-4.75317956641385e+001,8.98742889215931e+001
1.84501541917945e+001,-4.75117928170328e+001,8.98740291705566e+001
1.84926861897805e+001,-4.74917899567821e+001,8.98737687512690e+001
1.85353162341479e+001,-4.74717870833259e+001,8.98735076623498e+001
1.85780445509167e+001,-4.74517841966032e+001,8.98732459024106e+001
1.86208713666284e+001,-4.74317812965526e+001,8.98729834700621e+001
1.86637969083464e+001,-4.74117783831128e+001,8.98727203639086e+001
1.87068214036578e+001,-4.73917754562219e+001,8.98724565825526e+001
1.87499450806739e+001,-4.73717725158178e+001,8.98721921245938e+001
1.87931681680324e+001,-4.73517695618382e+001,8.98719269886300e+001
1.88364908948977e+001,-4.73317665942204e+001,8.98716611732475e+001
1.88799134909627e+001,-4.73117636129014e+001,8.98713946770385e+001
1.89234361864495e+001,-4.72917606178181e+001,8.98711274985855e+001
1.89670592121112e+001,-4.72717576089068e+001,8.98708596364695e+001
1.90107827992327e+001,-4.72517545861037e+001,8.98705910892681e+001
1.90546071796322e+001,-4.72317515493448e+001,8.98703218555547e+001
1.90985325856621e+001,-4.72117484985657e+001,8.98700519338984e+001
1.91425592502106e+001,-4.71917454337015e+001,8.98697813228652e+001
1.91866874067026e+001,-4.71717423546873e+001,8.98695100210192e+001
1.92309172891013e+001,-4.71517392614577e+001,8.98692380269168e+001
1.92752491319091e+001,-4.71317361539473e+001,8.98689653391153e+001
1.93196831701690e+001,-4.71117330320900e+001,8.98686919561645e+001
1.93642196394658e+001,-4.70917298958196e+001,8.98684178766125e+001
1.94088587759275e+001,-4.70717267450696e+001,8.98681430990035e+001
1.94536008162263e+001,-4.70517235797731e+001,8.98678676218773e+001
1.94984459975802e+001,-4.70317203998631e+001,8.98675914437706e+001
1.95433945577537e+001,-4.70117172052721e+001,8.98673145632175e+001
1.95884467350596e+001,-4.69917139959322e+001,8.98670369787446e+001
1.96336027683602e+001,-4.69717107717754e+001,8.98667586888783e+001
1.96788628970682e+001,-4.69517075327334e+001,8.98664796921403e+001
1.97242273611483e+001,-4.69317042787374e+001,8.98661999870492e+001
1.97696964011183e+001,-4.69117010097184e+001,8.98659195721172e+001
1.98152702580507e+001,-4.68916977256071e+001,8.98656384458547e+001
1.98609491735734e+001,-4.68716944263338e+001,8.98653566067701e+001
1.99067333898716e+001,-4.68516911118284e+001,8.98650740533631e+001
1.99526231496885e+001,-4.68316877820207e+001,8.98647907841343e+001
1.99986186963271e+001,-4.68116844368401e+001,8.98645067975781e+001
2.00447202736513e+001,-4.67916810762156e+001,8.98642220921856e+001
2.00909281260870e+001,-4.67716777000759e+001,8.98639366664444e+001
2.01372424986236e+001,-4.67516743083494e+001,8.98636505188382e+001
2.01836636368153e+001,-4.67316709009641e+001,8.98633636478465e+001
2.02301917867824e+001,-4.67116674778478e+001,8.98630760519442e+001
2.02768271952125e+001,-4.66916640389279e+001,8.98627877296034e+001
2.03235701093619e+001,-4.66716605841313e+001,8.98624986792927e+001
2.03704207770569e+001,-4.66516571133849e+001,8.98622088994771e+001
2.04173794466950e+001,-4.66316536266149e+001,8.98619183886154e+001
2.04644463672464e+001,-4.66116501237475e+001,8.98616271451630e+001
2.05116217882553e+001,-4.65916466047083e+001,8.98613351675746e+001
2.05589059598411e+001,-4.65716430694227e+001,8.98610424542971e+001
2.06062991326997e+001,-4.65516395178157e+001,8.98607490037770e+001
2.06538015581050e+001,-4.65316359498119e+001,8.98604548144529e+001
2.07014134879101e+001,-4.65116323653356e+001,8.98601598847616e+001
2.07491351745488e+001,-4.64916287643109e+001,8.98598642131374e+001
2.07969668710366e+001,-4.64716251466613e+001,8.98595677980070e+001
2.08449088309726e+001,-4.64516215123101e+001,8.98592706377978e+001
2.08929613085401e+001,-4.64316178611802e+001,8.98589727309288e+001
2.09411245585086e+001,-4.64116141931941e+001,8.98586740758170e+001
2.09893988362349e+001,-4.63916105082740e+001,8.98583746708771e+001
2.10377843976644e+001,-4.63716068063418e+001,8.98580745145153e+001
2.10862814993326e+001,-4.63516030873189e+001,8.98577736051387e+001
2.11348903983661e+001,-4.63315993511264e+001,8.98574719411455e+001
2.11836113524847e+001,-4.63115955976852e+001,8.98571695209369e+001
2.12324446200019e+001,-4.62915918269155e+001,8.98568663429015e+001
2.12813904598268e+001,-4.62715880387373e+001,8.98565624054302e+001
2.13304491314654e+001,-4.62515842330704e+001,8.98562577069054e+001
2.13796208950220e+001,-4.62315804098340e+001,8.98559522457114e+001
2.14289060112002e+001,-4.62115765689469e+001,8.98556460202212e+001
2.14783047413050e+001,-4.61915727103277e+001,8.98553390288101e+001
2.15278173472434e+001,-4.61715688338945e+001,8.98550312698451e+001
2.15774440915263e+001,-4.61515649395652e+001,8.98547227416910e+001
2.16271852372698e+001,-4.61315610272571e+001,8.98544134427064e+001
2.16770410481966e+001,-4.61115570968871e+001,8.98541033712501e+001
2.17270117886371e+001,-4.60915531483720e+001,8.98537925256715e+001
2.17770977235312e+001,-4.60715491816280e+001,8.98534809043205e+001
2.18272991184297e+001,-4.60515451965708e+001,8.98531685055392e+001
2.18776162394952e+001,-4.60315411931161e+001,8.98528553276680e+001
2.19280493535041e+001,-4.60115371711788e+001,8.98525413690417e+001
2.19785987278479e+001,-4.59915331306736e+001,8.98522266279921e+001
2.20292646305342e+001,-4.59715290715148e+001,8.98519111028469e+001
2.20800473301886e+001,-4.59515249936164e+001,8.98515947919272e+001
2.21309470960560e+001,-4.59315208968917e+001,8.98512776935521e+001
2.21819641980018e+001,-4.59115167812540e+001,8.98509598060371e+001
2.22330989065137e+001,-4.58915126466158e+001,8.98506411276911e+001
2.22843514927027e+001,-4.58715084928895e+001,8.98503216568207e+001
2.23357222283049e+001,-4.58515043199869e+001,8.98500013917278e+001
2.23872113856830e+001,-4.58315001278196e+001,8.98496803307105e+001
2.24388192378273e+001,-4.58114959162986e+001,8.98493584720598e+001
2.24905460583574e+001,-4.57914916853345e+001,8.98490358140682e+001
2.25423921215239e+001,-4.57714874348377e+001,8.98487123550174e+001
2.25943577022094e+001,-4.57514831647179e+001,8.98483880931897e+001
2.26464430759302e+001,-4.57314788748845e+001,8.98480630268612e+001
2.26986485188378e+001,-4.57114745652465e+001,8.98477371543018e+001
2.27509743077203e+001,-4.56914702357126e+001,8.98474104737818e+001
2.28034207200038e+001,-4.56714658861909e+001,8.98470829835607e+001
2.28559880337539e+001,-4.56514615165890e+001,8.98467546819025e+001
2.29086765276773e+001,-4.56314571268144e+001,8.98464255670588e+001
2.29614864811232e+001,-4.56114527167738e+001,8.98460956372788e+001
2.30144181740847e+001,-4.55914482863737e+001,8.98457648908110e+001
2.30674718872003e+001,-4.55714438355202e+001,8.98454333258959e+001
2.31206479017555e+001,-4.55514393641188e+001,8.98451009407691e+001
2.31739464996844e+001,-4.55314348720746e+001,8.98447677336661e+001
2.32273679635707e+001,-4.55114303592924e+001,8.98444337028150e+001
2.32809125766497e+001,-4.54914258256764e+001,8.98440988464370e+001
2.33345806228096e+001,-4.54714212711305e+001,8.98437631627543e+001
2.33883723865931e+001,-4.54514166955580e+001,8.98434266499814e+001
2.34422881531988e+001,-4.54314120988618e+001,8.98430893063277e+001
2.34963282084826e+001,-4.54114074809445e+001,8.98427511300012e+001
2.35504928389597e+001,-4.53914028417080e+001,8.98424121192045e+001
2.36047823318053e+001,-4.53713981810540e+001,8.98420722721322e+001
2.36591969748571e+001,-4.53513934988836e+001,8.98417315869786e+001
2.37137370566161e+001,-4.53313887950974e+001,8.98413900619328e+001
2.37684028662483e+001,-4.53113840695956e+001,8.98410476951782e+001
2.38231946935865e+001,-4.52913793222781e+001,8.98407044848937e+001
2.38781128291313e+001,-4.52713745530441e+001,8.98403604292554e+001
2.39331575640534e+001,-4.52513697617924e+001,8.98400155264327e+001
2.39883291901945e+001,-4.52313649484213e+001,8.98396697745908e+001
2.40436280000689e+001,-4.52113601128288e+001,8.98393231718926e+001
2.40990542868655e+001,-4.51913552549123e+001,8.98389757164945e+001
2.41546083444489e+001,-4.51713503745687e+001,8.98386274065486e+001
2.42102904673613e+001,-4.51513454716944e+001,8.98382782402023e+001
2.42661009508237e+001,-4.51313405461856e+001,8.98379282155979e+001
2.43220400907377e+001,-4.51113355979376e+001,8.98375773308762e+001
2.43781081836871e+001,-4.50913306268454e+001,8.98372255841696e+001
2.44343055269393e+001,-4.50713256328037e+001,8.98368729736079e+001
2.44906324184470e+001,-4.50513206157065e+001,8.98365194973135e+001
2.45470891568498e+001,-4.50313155754473e+001,8.98361651534092e+001
2.46036760414758e+001,-4.50113105119192e+001,8.98358099400095e+001
2.46603933723429e+001,-4.49913054250148e+001,8.98354538552257e+001
2.47172414501608e+001,-4.49713003146262e+001,8.98350968971627e+001
2.47742205763324e+001,-4.49512951806449e+001,8.98347390639229e+001
2.48313310529552e+001,-4.49312900229620e+001,8.98343803536013e+001
2.48885731828234e+001,-4.49112848414681e+001,8.98340207642923e+001
2.49459472694291e+001,-4.48912796360534e+001,8.98336602940819e+001
2.50034536169638e+001,-4.48712744066072e+001,8.98332989410538e+001
2.50610925303206e+001,-4.48512691530188e+001,8.98329367032843e+001
2.51188643150953e+001,-4.48312638751766e+001,8.98325735788470e+001
2.51767692775881e+001,-4.48112585729687e+001,8.98322095658105e+001
2.52348077248053e+001,-4.47912532462825e+001,8.98318446622393e+001
2.52929799644609e+001,-4.47712478950051e+001,8.98314788661912e+001
2.53512863049786e+001,-4.47512425190230e+001,8.98311121757210e+001
2.54097270554925e+001,-4.47312371182220e+001,8.98307445888776e+001
2.54683025258499e+001,-4.47112316924877e+001,8.98303761037046e+001
2.55270130266120e+001,-4.46912262417048e+001,8.98300067182439e+001
2.55858588690559e+001,-4.46712207657578e+001,8.98296364305290e+001
2.56448403651767e+001,-4.46512152645305e+001,8.98292652385908e+001
