Freq.	V(n003)-V(n002)
8.12830516164095e+002	(-6.02077326932711e+000dB,-5.84882229438724e+000°)
8.31763771102666e+002	(-6.02077325231517e+000dB,-5.98488752607890e+000°)
8.51138038202372e+002	(-6.02077323450500e+000dB,-6.12410989171743e+000°)
8.70963589956076e+002	(-6.02077321585933e+000dB,-6.26656205819033e+000°)
8.91250938133741e+002	(-6.02077319633915e+000dB,-6.41231832295658e+000°)
9.12010839355905e+002	(-6.02077317590364e+000dB,-6.56145464762832e+000°)
9.33254300796986e+002	(-6.02077315451013e+000dB,-6.71404869202494e+000°)
9.54992586021431e+002	(-6.02077313211394e+000dB,-6.87017984868878e+000°)
9.77237220955805e+002	(-6.02077310866837e+000dB,-7.02992927785045e+000°)
9.99999999999994e+002	(-6.02077308412453e+000dB,-7.19337994282926e+000°)
1.02329299228075e+003	(-6.02077305843131e+000dB,-7.36061664585287e+000°)
1.04712854805089e+003	(-6.02077303153525e+000dB,-7.53172606427770e+000°)
1.07151930523760e+003	(-6.02077300338044e+000dB,-7.70679678718938e+000°)
1.09647819614318e+003	(-6.02077297390839e+000dB,-7.88591935236025e+000°)
1.12201845430196e+003	(-6.02077294305795e+000dB,-8.06918628353792e+000°)
1.14815362149688e+003	(-6.02077291076518e+000dB,-8.25669212803611e+000°)
1.17489755493952e+003	(-6.02077287696320e+000dB,-8.44853349459614e+000°)
1.20226443461741e+003	(-6.02077284158213e+000dB,-8.64480909148350e+000°)
1.23026877081237e+003	(-6.02077280454886e+000dB,-8.84561976478114e+000°)
1.25892541179416e+003	(-6.02077276578700e+000dB,-9.05106853683661e+000°)
1.28824955169313e+003	(-6.02077272521668e+000dB,-9.26126064481644e+000°)
1.31825673855640e+003	(-6.02077268275442e+000dB,-9.47630357931677e+000°)
1.34896288259165e+003	(-6.02077263831300e+000dB,-9.69630712297434e+000°)
1.38038426460288e+003	(-6.02077259180122e+000dB,-9.92138338901712e+000°)
1.41253754462275e+003	(-6.02077254312383e+000dB,-1.01516468596886e+001°)
1.44543977074592e+003	(-6.02077249218129e+000dB,-1.03872144244735e+001°)
1.47910838816820e+003	(-6.02077243886961e+000dB,-1.06282054180478e+001°)
1.51356124843620e+003	(-6.02077238308017e+000dB,-1.08747416578680e+001°)
1.54881661891247e+003	(-6.02077232469950e+000dB,-1.11269474813081e+001°)
1.58489319246110e+003	(-6.02077226360911e+000dB,-1.13849497822476e+001°)
1.62181009735892e+003	(-6.02077219968528e+000dB,-1.16488780470013e+001°)
1.65958690743755e+003	(-6.02077213279882e+000dB,-1.19188643894786e+001°)
1.69824365246173e+003	(-6.02077206281486e+000dB,-1.21950435854485e+001°)
1.73780082874936e+003	(-6.02077198959263e+000dB,-1.24775531057763e+001°)
1.77827941003891e+003	(-6.02077191298522e+000dB,-1.27665331484912e+001°)
1.81970085860997e+003	(-6.02077183283934e+000dB,-1.30621266695312e+001°)
1.86208713666286e+003	(-6.02077174899506e+000dB,-1.33644794120012e+001°)
1.90546071796323e+003	(-6.02077166128554e+000dB,-1.36737399337689e+001°)
1.94984459975803e+003	(-6.02077156953681e+000dB,-1.39900596332123e+001°)
1.99526231496887e+003	(-6.02077147356744e+000dB,-1.43135927729148e+001°)
2.04173794466952e+003	(-6.02077137318830e+000dB,-1.46444965010985e+001°)
2.08929613085403e+003	(-6.02077126820227e+000dB,-1.49829308705630e+001°)
2.13796208950222e+003	(-6.02077115840393e+000dB,-1.53290588548898e+001°)
2.18776162394954e+003	(-6.02077104357929e+000dB,-1.56830463616512e+001°)
2.23872113856832e+003	(-6.02077092350545e+000dB,-1.60450622423509e+001°)
2.29086765276776e+003	(-6.02077079795031e+000dB,-1.64152782988019e+001°)
2.34422881531991e+003	(-6.02077066667226e+000dB,-1.67938692856337e+001°)
2.39883291901947e+003	(-6.02077052941985e+000dB,-1.71810129085998e+001°)
2.45470891568501e+003	(-6.02077038593148e+000dB,-1.75768898183381e+001°)
2.51188643150956e+003	(-6.02077023593506e+000dB,-1.79816835992180e+001°)
2.57039578276885e+003	(-6.02077007914768e+000dB,-1.83955807528855e+001°)
2.63026799189536e+003	(-6.02076991527532e+000dB,-1.88187706760992e+001°)
2.69153480392690e+003	(-6.02076974401245e+000dB,-1.92514456324263e+001°)
2.75422870333815e+003	(-6.02076956504178e+000dB,-1.96938007173474e+001°)
2.81838293126443e+003	(-6.02076937803390e+000dB,-2.01460338162953e+001°)
2.88403150312659e+003	(-6.02076918264693e+000dB,-2.06083455551310e+001°)
2.95120922666636e+003	(-6.02076897852627e+000dB,-2.10809392425378e+001°)
3.01995172040199e+003	(-6.02076876530425e+000dB,-2.15640208037885e+001°)
3.09029543251357e+003	(-6.02076854259986e+000dB,-2.20577987053229e+001°)
3.16227766016836e+003	(-6.02076831001843e+000dB,-2.25624838695445e+001°)
3.23593656929626e+003	(-6.02076806715141e+000dB,-2.30782895792277e+001°)
3.31131121482589e+003	(-6.02076781357609e+000dB,-2.36054313709017e+001°)
3.38844156139200e+003	(-6.02076754885538e+000dB,-2.41441269165596e+001°)
3.46736850452529e+003	(-6.02076727253758e+000dB,-2.46945958930190e+001°)
3.54813389233573e+003	(-6.02076698415626e+000dB,-2.52570598382446e+001°)
3.63078054770099e+003	(-6.02076668323005e+000dB,-2.58317419939255e+001°)
3.71535229097170e+003	(-6.02076636926257e+000dB,-2.64188671335866e+001°)
3.80189396320558e+003	(-6.02076604174234e+000dB,-2.70186613755028e+001°)
3.89045144994278e+003	(-6.02076570014275e+000dB,-2.76313519796741e+001°)
3.98107170553494e+003	(-6.02076534392210e+000dB,-2.82571671281183e+001°)
4.07380277804110e+003	(-6.02076497252366e+000dB,-2.88963356877352e+001°)
4.16869383470332e+003	(-6.02076458537581e+000dB,-2.95490869549999e+001°)
4.26579518801589e+003	(-6.02076418189225e+000dB,-3.02156503817545e+001°)
4.36515832240162e+003	(-6.02076376147226e+000dB,-3.08962552813824e+001°)
4.46683592150960e+003	(-6.02076332350108e+000dB,-3.15911305146687e+001°)
4.57088189614871e+003	(-6.02076286735030e+000dB,-3.23005041546855e+001°)
4.67735141287194e+003	(-6.02076239237845e+000dB,-3.30246031300733e+001°)
4.78630092322634e+003	(-6.02076189793159e+000dB,-3.37636528461415e+001°)
4.89778819368442e+003	(-6.02076138334403e+000dB,-3.45178767832642e+001°)
5.01187233627268e+003	(-6.02076084793923e+000dB,-3.52874960721182e+001°)
5.12861383991361e+003	(-6.02076029103075e+000dB,-3.60727290453892e+001°)
5.24807460249768e+003	(-6.02075971192331e+000dB,-3.68737907656620e+001°)
5.37031796370248e+003	(-6.02075910991409e+000dB,-3.76908925293192e+001°)
5.49540873857620e+003	(-6.02075848429406e+000dB,-3.85242413463907e+001°)
5.62341325190344e+003	(-6.02075783434953e+000dB,-3.93740393964304e+001°)
5.75439937337152e+003	(-6.02075715936382e+000dB,-4.02404834606490e+001°)
5.88843655355584e+003	(-6.02075645861912e+000dB,-4.11237643306952e+001°)
6.02559586074353e+003	(-6.02075573139853e+000dB,-4.20240661946642e+001°)
6.16595001861477e+003	(-6.02075497698820e+000dB,-4.29415660011086e+001°)
6.30957344480188e+003	(-6.02075419467972e+000dB,-4.38764328020489e+001°)
6.45654229034650e+003	(-6.02075338377270e+000dB,-4.48288270762105e+001°)
6.60693448007590e+003	(-6.02075254357745e+000dB,-4.57989000339695e+001°)
6.76082975391976e+003	(-6.02075167341794e+000dB,-4.67867929057544e+001°)
6.91830970918931e+003	(-6.02075077263487e+000dB,-4.77926362159351e+001°)
7.07945784384132e+003	(-6.02074984058893e+000dB,-4.88165490445271e+001°)
7.24435960074984e+003	(-6.02074887666429e+000dB,-4.98586382793483e+001°)
7.41310241300911e+003	(-6.02074788027219e+000dB,-5.09189978615864e+001°)
7.58577575029177e+003	(-6.02074685085471e+000dB,-5.19977080280601e+001°)
7.76247116628685e+003	(-6.02074578788869e+000dB,-5.30948345537946e+001°)
7.94328234724275e+003	(-6.02074469088977e+000dB,-5.42104279988614e+001°)
8.12830516164092e+003	(-6.02074355941660e+000dB,-5.53445229637666e+001°)
8.31763771102664e+003	(-6.02074239307502e+000dB,-5.64971373579979e+001°)
8.51138038202369e+003	(-6.02074119152246e+000dB,-5.76682716866516e+001°)
8.70963589956073e+003	(-6.02073995447226e+000dB,-5.88579083603583e+001°)
8.91250938133738e+003	(-6.02073868169809e+000dB,-6.00660110339995e+001°)
9.12010839355902e+003	(-6.02073737303829e+000dB,-6.12925239799515e+001°)
9.33254300796983e+003	(-6.02073602840024e+000dB,-6.25373715018020e+001°)
9.54992586021428e+003	(-6.02073464776453e+000dB,-6.38004573946530e+001°)
9.77237220955802e+003	(-6.02073323118910e+000dB,-6.50816644582392e+001°)
9.99999999999991e+003	(-6.02073177881315e+000dB,-6.63808540691583e+001°)
1.02329299228075e+004	(-6.02073029086087e+000dB,-6.76978658185083e+001°)
1.04712854805089e+004	(-6.02072876764487e+000dB,-6.90325172211614e+001°)
1.07151930523760e+004	(-6.02072720956931e+000dB,-7.03846035027643e+001°)
1.09647819614318e+004	(-6.02072561713274e+000dB,-7.17538974703372e+001°)
1.12201845430195e+004	(-6.02072399093043e+000dB,-7.31401494720428e+001°)
1.14815362149687e+004	(-6.02072233165631e+000dB,-7.45430874513123e+001°)
1.17489755493952e+004	(-6.02072064010445e+000dB,-7.59624171000402e+001°)
1.20226443461740e+004	(-6.02071891716995e+000dB,-7.73978221150053e+001°)
1.23026877081237e+004	(-6.02071716384928e+000dB,-7.88489645610233e+001°)
1.25892541179416e+004	(-6.02071538124003e+000dB,-8.03154853436148e+001°)
1.28824955169312e+004	(-6.02071357053998e+000dB,-8.17970047931596e+001°)
1.31825673855640e+004	(-6.02071173304561e+000dB,-8.32931233616352e+001°)
1.34896288259164e+004	(-6.02070987014981e+000dB,-8.48034224320926e+001°)
1.38038426460287e+004	(-6.02070798333900e+000dB,-8.63274652400284e+001°)
1.41253754462274e+004	(-6.02070607418956e+000dB,-8.78647979047777e+001°)
1.44543977074591e+004	(-6.02070414436352e+000dB,-8.94149505679853e+001°)
1.47910838816819e+004	(-6.02070219560361e+000dB,-9.09774386351371e+001°)
1.51356124843619e+004	(-6.02070022972774e+000dB,-9.25517641150571e+001°)
1.54881661891247e+004	(-6.02069824862275e+000dB,-9.41374170512183e+001°)
1.58489319246110e+004	(-6.02069625423762e+000dB,-9.57338770376940e+001°)
1.62181009735891e+004	(-6.02069424857628e+000dB,-9.73406148116066e+001°)
1.65958690743755e+004	(-6.02069223368973e+000dB,-9.89570939130295e+001°)
1.69824365246173e+004	(-6.02069021166794e+000dB,-1.00582772402482e+002°)
1.73780082874936e+004	(-6.02068818463129e+000dB,-1.02217104625434e+002°)
1.77827941003891e+004	(-6.02068615472182e+000dB,-1.03859543012643e+002°)
1.81970085860997e+004	(-6.02068412409423e+000dB,-1.05509539904639e+002°)
1.86208713666285e+004	(-6.02068209490681e+000dB,-1.07166549388354e+002°)
1.90546071796323e+004	(-6.02068006931229e+000dB,-1.08830029133634e+002°)
1.94984459975803e+004	(-6.02067804944880e+000dB,-1.10499442217351e+002°)
1.99526231496886e+004	(-6.02067603743094e+000dB,-1.12174258922844e+002°)
2.04173794466951e+004	(-6.02067403534100e+000dB,-1.13853958502686e+002°)
2.08929613085402e+004	(-6.02067204522062e+000dB,-1.15538030893070e+002°)
2.13796208950221e+004	(-6.02067006906259e+000dB,-1.17225978368623e+002°)
2.18776162394953e+004	(-6.02066810880333e+000dB,-1.18917317127031e+002°)
2.23872113856832e+004	(-6.02066616631561e+000dB,-1.20611578793568e+002°)
2.29086765276775e+004	(-6.02066424340199e+000dB,-1.22308311836434e+002°)
2.34422881531990e+004	(-6.02066234178876e+000dB,-1.24007082884677e+002°)
2.39883291901947e+004	(-6.02066046312050e+000dB,-1.25707477941425e+002°)
2.45470891568501e+004	(-6.02065860895533e+000dB,-1.27409103486157e+002°)
2.51188643150956e+004	(-6.02065678076077e+000dB,-1.29111587460753e+002°)
2.57039578276884e+004	(-6.02065497991037e+000dB,-1.30814580135143e+002°)
2.63026799189536e+004	(-6.02065320768092e+000dB,-1.32517754849360e+002°)
2.69153480392689e+004	(-6.02065146525045e+000dB,-1.34220808629896e+002°)
2.75422870333814e+004	(-6.02064975369677e+000dB,-1.35923462679210e+002°)
2.81838293126443e+004	(-6.02064807399680e+000dB,-1.37625462738206e+002°)
2.88403150312658e+004	(-6.02064642702643e+000dB,-1.39326579322418e+002°)
2.95120922666636e+004	(-6.02064481356103e+000dB,-1.41026607833450e+002°)
